Прямой обмен товарами без денежных расчётов?; бартер
Стиль Хайку: Вначале ..., затем молчание. Как прекрасна смерть монитора за $1000.; снег
– Дорогая, я опять не могу найти свой галстук! Куда ты снова ...?; передвинула шкаф
20 тысяч километров верхом на ... – таков новый рекорд, который установил пассажир трансатлантического авиалайнера Кудюкин, предварительно съев в аэропорту дыньку.; унитазе
У хирурга. – Что вас беспокоит? – Доктор, меня бросила девушка... – Вам к психотерапевту. – ...я пролетел десять метров – и ударился головой о ... .; стену
Звонок в дверь. – Здравствуйте, я ваша соседка. – Сверху или снизу? – Что, вот так ...?; сразу
Встречаются двое. – Я вчера такую красотку в постель уложил, – мечтательно говорит один. – А мне не везет. Все старухи попадаются, – грустно отвечает второй. И оба ... полетели дальше.; вируса гриппа
Мужик нашел подкову. – Беру, – думает, – повешу дома, она мне счастье принесет! Поднимает, переворачивает на другую сторону, а там ...; конь
На дороге лежит курица. Едет трактор, переехал курицу. Курица встала, встряхнулась: – Вот это ...!; мужчина
Надпись в зоопарке: “Кормить зверей запрещается. Если у вас есть какая-нибудь подходящая еда – отдайте ее ...”.; охранникам
Знакомятся русский и грузин. Русский: – Меня зовут Вася, а по-вашему – Вахтанг. Грузин: – А меня зовут Акоп, а по-вашему – ... .; Траншей
– Так вот где собака зарыта!.. – подумал некрофильный ... .; зоофил
Существует три основных правила для здоровья ваших зубов: 1) чистите их два раза в день; 2) посещайте ... не реже двух раз в году; 3) не суйте нос не в свои дела.; стоматолога
– Прапорщик Пупкин! Ко мне, с докладом! – Товарищ майор, разрешите докласть? – Не докласть, а доложить, болван! – Виноват! Так точно, доложить! – Да уж ... уже, ... .; долаживай
Сегодня ... провели крупномасштабную акцию по переводу бабушек через дорогу. Сотни разгневанных дедушек так и остались стоять у проезжей части.; тимуровцы
Заключенный рассуждает: “Какая это все-таки странная вещь – ...: вот меня посадили за то, что я украл буханку хлеба, и теперь им приходится выдавать мне по буханке в день.”; закон
– Взвод, всем взять лопаты и рыть окоп! – Товарищ прапорщик, а зачем нужно рыть окоп? – Враг нападает, нам нужно ... . – Товарищ прапорщик, может, мы сами на него нападем, пусть лучше он роет окоп?; укрытие
“Русские своих на ... не бросают!” (Брат-2); войне
“Мы разучились делать маленькие ... . Мы перестали лазить в окно к любимым женщинам...” (Тот самый Мюнхаузен); глупости
“Cейчас верить нельзя никому. Даже себе. ... можно.” (17 мгновений весны); Мне
“Морально ..., значит” (Карнавальная ночь); разложился
“Ближе к ...” (12 стульев); телу
“– У вас нет коньяка.  – У меня есть коньяк.  – Значит, у вас нет ... .  – У меня есть ... .  – Значит, мы с вами едим из одной кормушки.”; салями
“Этот человек поднял руку на самое ... – на Частную собственность!” (Берегись автомобиля); святое
“Я дам Вам ...!” (12 стульев); парабеллум
Восток – дело ... (Белое солнце пустыни); тонкое
...ой! не бейте сюда, это мое больное место... и по ___ не бейте – это тоже больное место... (Служебный роман); голове
“Профессор! «...» это же Главрыба!!!” (Собачье сердце); Абырвалг
“Только я умоляю Вас, Вы не ешьте на ночь сырых ..., чтобы не причинить вреда желудку...” (Золотой теленок); помидоров
“Поднимите! Ни одна ... золота не должна пропасть!”; пылинка
“Бабе – цветы, ... – мороженое!” (Бриллиантовая рука); дитям
“С удовольствием предаюсь в руки родной милиции, надеюсь на нее и ... .” (Иван Васильевич меняет профессию); уповаю
“Ты зачем усы сбрил, ...?” (Бриллиантовая рука); дурик
“Ели немытые ...?!” (Айболит-66); бананы
“... ходи, ...!” (Джентльмены удачи); лошадью
– Руки? – А? – ...? (Операция Ы); мыли
Усе пропало, ...! (Бриллиантовая рука); шеф
“Все уже ... до нас!” (Операция Ы); украдено
“Выпьем, закусим, о делах наших ... покалякаем...” (Место встречи изменить нельзя); скорбных
Это не ерунда, это совсем даже не ерунда, ... Битнер. Особенно в таком деле! (17 мгновений весны); дружище
– Бамбарбия! ...! – Что он сказал? (Кавказская пленница); Киргуду
– Как пройти в ...? – В три часа ночи?! Идиот! (Операция Ы); библиотеку
Это не дело когда актер, понимаете, целый день болтается в ...! (Берегись автомобиля); театре
– У меня на правом переднем крыле ... нацарапано неприличное слово. – Так! Какое? (Берегись автомобиля); гвоздем
Куй жулезо не отходя от ...! (Бриллиантовая рука); кассы
“...такой хороший девушка, а отец – ..., спекулянт!” (Джентльмены удачи); барыга
“Что делать, что делать? ...!” (Берегись автомобиля); Сухари сушить
“Как много ты можешь знать о себе, если ты ни разу не ...?” (Бойцовский клуб); дрался
Ну, будете у нас на ... – Кхе... Нет, уж лучше вы к нам! (Бриллиантовая рука); Колыме
– Вы понимаете, они разбили моё сердце! Плюнули мне в душу! Растоптали лучшие чувства!. Господи, да за что же мне, простому ... – и такое счастье?!; мазохисту
ФСБ объявило тендер на производство детекторов лжи. Тендер выиграл Московский завод ... .; паяльников
Женщина с гранатой – все равно что ... за рулем...; обезьяна
– Как избежать ...? – Надо брать в армию не мужчин, а женщин. Вряд ли они захотят называть себя бабушками.; дедовщины
Порой важно не просто побороть себя, а уложить на обе лопатки и желательно на ...; диван
В России встречаются всего 3 вида политиков: В чем-то замешанные; На чем-то помешанные; И просто ... .; смешные
Объявление в студенческой столовой: “Не подбирайте крошки – не злите ...!”.; тараканов
Суперакция! Только у нас и только до конца месяца! Каждому купившему ... тарелку – ... ложку и ... вилку в подарок!; спутниковую
Если взять цветной бумаги, // Ручку, ножницы и клей // И ещё чуть-чуть отваги // Можно сделать ...; 100 рублей
– Папа, какой синоним у слова многоженство? – Полигамия, сынок. – А одноженство? – ... .; Монотонность
Дед внуку: – Я тебе расскажу, как сотворили первую пару людей на земле. – Я знаю. Расскажи лучше, как сотворили ... .; третьего человека
Однажды мне приснилось, что моя жена громко храпит. Просыпаюсь: ничего подобного – ...!; не женат
Никому так не важно правильно выбрать дорогу в жизни, как ... .; гаишнику
Отлей в сугроб, почувствуй себя ... .; лазером
Начальник – секретарше: – То, что вы пишете на работе любовные письма, я могу понять, но зачем вы их даёте мне ...?; на подпись
В школе Борис Моисеев был неактивным ...; пионером
пользуясь ..., хочу передать привет друзьям, которые тоже пользуются “...”!!!!; моментом
Бывают такие минуты, когда все решают секунды, и длится это ...!; часами
Если ты никого не боишься, значит, ты – самый ...; страшный
Если ... читать наоборот – получается “ЯИЦ НЕТ, ОП!”; ПОТЕНЦИЯ
Немой поймал золотую рыбку. – Теперь у него есть корова, – лыжные палки – и ...; большая грудь
По факту пропажи мужа было возбуждено два ...; соседа
Папа рассказывает сыну сказку на ночь: – И пошел ... к себе в пещеру... – Кто, блин? – Спи, блин.; гоблин
– Доктор, у меня такое чувство, словно меня никто всерьез не принимает! – ...!; Вы шутите
Большинство мужчин более уважительно относились бы к женскому уму, если бы он у них при ходьбе слегка ...; подпрыгивал
И вскочил Иван-Царевич на коня, крикнул по-молодецки, но тут же подбежали к нему какие-то люди и на землю сбросили. И правильно – куда ж без билета на ... прешься?; карусель
“... нам только не хватало”, – подумала мама, когда Малыш представил ей Карлсона, который живет на крыше.; бомжей
Телекомментатор обращается к гонщику: – Вы не победили, но как вам понравилась сама гонка? – О, ... нам понравилась.; самогонка
– Неужели я выпила мало фанты? – успела подумать ..., видя, что поезд и не собирается останавливаться.; Анна Каренина
Новость: Вчера на самарском ликеро-водочном заводе взорвалась цистерна с шампанским. Первыми на место происшествия прибыли пожарные. И не ...! Предприятию нанесен огромный материальный ущерб.; пожалели
– Деточка, сядь в машину – я тебе конфетку дам! Деточка, сядь в машину – я тебе две конфетки дам! Деточка, сядь в машину – я тебе шоколадку куплю! – Знаешь, папа, сам езди на своем “...”; Запорожце
Маленький крокодильчик подбегает к маме: – Мама, а где наш папа работает? Мама: – Папа твой в посольстве служит “...”!; дипломатом
У психиатра. – Так вы говорите, что платите налоги с ...? И когда это у вас началось?; радостью
“Три года страна стояла на краю пропасти... и вот наконец мы сделали ...”; шаг вперед
Встречаются два однокурсника. Один говорит другому: – Как подумаю, какой из меня инженер – боюсь к ... идти.; доктору
Ученые-медики открыли новую болезнь, у которой нет ... . Ее трудно обнаружить, и лекарств от нее не существует. К счастью, до сих пор не было зарегистрировано ни одного случая заболевания.; симптомов
А из нашего окна площадь Красная видна! Я в оптический прицел даже ... разглядел!; лица
– Папа, а откуда люди узнали, что земля круглая? – Малыш, ты разве никогда не видел ...?; глобус
Идут двое по улице. – Смотри, 100 баксов валяются! Давай на них что-нибудь купим. – Класс! Давай. – Давай купим на доллар хлеба, а на остальное – водки. – Не понял, а зачем нам столько ...?; хлеба
“Что же все-таки у него в руке?” – подумала ..., увидев гаишника на дороге.; зебра
– Ты чего такой усталый и печальный? – Работа... Работа... Одна работа... Утром и вечером... И всё работа... – И давно так работаешь? – ...; Завтра начинаю
Я стал вегетарианцем не потому, что люблю животных. Я ...; ненавижу растения
Начальник отдела входит в кабинет и орет на сотрудников: – Я же сказал: во время работы курить запрещается! – А кто тут ...?; работает
– ... сказал девочке: “Брось костыли и иди!” И она бросила их и пошла. – А чем она болела? – Гриппом! А костыли дедушке несла.; Кашпировский
– Скажите, что заставляет вас напиваться каждый день? – Ничего не заставляет, я ... .; доброволец
– Бэрримор, что у меня хлюпает в ботинке? – ..., сэр. – ...?! Что она там делает?! – Хлюпает, сэр...; Овсянка
– Дедушка Мороз, выходи! – кричали, пританцовывая, дети около ... .; туалета
– А чего ты больше на тромбоне не играешь? – Да так, узнал случайно, что сосед ... купил...; ружье
– Доктор, я хочу ребенка, а мой муж не хочет. Что делать? – Ну так рожайте. А он пусть ... .; не рожает
Одна девушка говорит подруге: – Ты знаешь, у меня теперь уже нет таких претензий к мужчинам, как раньше. Главное – чтобы он был добрым, отзывчивым, человечным. Как ты думаешь, еще остались такие ...?; банкиры
Шеф обращается к своему ...: – Слушайте, вы в моей фирме работаете более 10 лет и ни разу не просили о прибавке зарплаты. Что за темные делишки вы здесь проворачиваете?; бухгалтеру
Наша кошка тоже боялась пылесоса... ничего, потом ...; втянулась
“Машины у входа не ставить. Штраф – ...”.; лопатой по стеклу
А ведь волк остался бы в живых, если бы не заговорил в темном лесу с ... девочкой в красной шапочке.; незнакомой
– Аркадий, не показывай мне язык, а то заболеешь! – Чем? – Переломом ... и сотрясением мозга.; челюсти
– Капитан, ... всплыл! – Да-а... скверная примета.; якорь
– Товарищ командир, что с пленным делать? Расстрелять или отпустить? – Отпусти... Когда отойдет подальше – ...!; стреляй
Звонит телефон: – Простите, а ... можно? – ...? Да, пожалуйста: “Ра-асцветали яблони и груши, поплыли туманы над рекой...”; Катюшу
Слово “...” по-прежнему остается лучшим противозачаточным средством.; нет
Проверка порядка в казарме. Командир, открывая очередную тумбочку: – Почему ... в тумбочке?! Мышей развести хотите?; гантели
Если в индийском фильме в начале показывают ..., то в конце второй серии оно обязательно будет петь и танцевать.; ружье
Вскружил девушке голову так, что ее тошнило ...; 9 месяцев
– Правда ли, что внешние ... устойчивее внутренних? – Правда. У внешних четыре ножки и низко расположенный центр тяжести.; модемы
... мирным путем произошла в Нагасонии. Мирным путем было убито 260 человек, ранено – 742.; революция
Приходит врач в ... к больному: – У меня есть для вас две новости: одна хорошая, другая плохая... – Давайте сначала хорошую. – Эту болезнь назовут вашим именем.; палату
– Товарищи солдаты, сегодня будем подметать плац лопатами. – Товарищ капитан, а можно ...? – Можно и ..., лишь бы задолбались.; ломами
Конопля – это ... . Только ему вырасти не дают.; дерево
– Однажды, когда я был маленький, мы с бабушкой зашли в летнее кафе под открытым небом, чтобы пообедать. Потом пошёл ... . Мне понадобилось три часа, чтобы доесть бульон...; ливень
Объявление. Если вы получаете удовольствие от ... – то у нас вас ждет масса удовольствий.; работы
– Как приготовить коктейль “Три поросенка”? – Очень просто. Надо купить ... и позвать двух друзей.; ящик водки
Сержант обратился к шагающим в строю солдатам: – Кто хорошо поет? – ..., – пошутил один из солдат. – ..., запевай! – приказал сержант.; Карузо
– Что еще нужно человеку, который за полгода приобрел себе двухэтажный дом, шикарную мебель и новую машину? – Оправдательные ... .; документы
– Скажите, где вы сшили себе этот костюм? – В Париже. – А это очень далеко от нашего Бердичева? – Да, больше тысячи километров. – Скажите, пожалуйста! Такая ..., а шьют прилично!; глухомань
В детском садике наконец-то дали горячую воду. Это, конечно, не ..., но всё же лучше, чем ничего...; макароны
Продам коллекцию повесток в армию, не ..., есть разные года.; гашеные
– Вот, у нас старшина был таким юмористом – как что-нибудь скажет, так все лягут! – Ну, и что он говорил? – ...!; Рота ложись
Исследование молдавских ученых показало, что больше всего витаминов находится в ... .; аптеке
Ты самая красивая, добрая, умная, ненаглядная, рыбонька, солнышко, цветик ты мой, Василисонька, котенок, зайчонок, лисенок, ежонок симпатюлечка, кукушонок, дружок, пирожок, умница-разумница, ягненок... ну только дай ... , я знаю, у тебя есть!!; сто грамм
– Не будите во мне зверя, он и так не ...; высыпается
В травмопункт заходит ___, у которого рука застряла в пациенте. Доктор: – У нас травмопункт, а не кукольный театр.; проктолог
После трагического случая, в Монголии запрещено залезать в маршрутку с ... .; копьём
– Товарищ прапорщик, а что такое брак по расчету? – Ну, это, когда строишь солдат в ..., на первый-второй рассчитайсь, а потом первые женятся на вторых.; шеренгу
Террористы, захватившие заложников, снова смягчили свои требования. Если первоначально они требовали 30 миллионов долларов и вертолет, то теперь – бутылку водки, два огурца и ... . Переговоры продолжаются...; велосипед
Знаете ли вы что... 98% солдат стремятся попасть на гражданку, и только 2% на ...; гражданина
Врaч – больному: – Зaтрудняюсь постaвить вaм ... . Haверное это aлкоголизм. – Лaдно. Тогдa я зaйду когдa вы протрезвеете.; диагноз
День флота. Идет по улице в стельку пьяный моряк, в бескозырке, одетой зaдом нaперед. Идет, знaчит, и ленточки все время от глaз отмaхивaет. Зaпaрился весь и говорит: – Hу, когдa уже эти чертовы ... зaкончaтся?!; камыши
– Что надо есть на пароходе во время качки? – Самое ... .; дешевое
Мужик выскакивает из дома на громкие вопли своей автомобильной сигнализации. У его автомашины стоят три здоровых мужика и спокойно говорят: – Что мужик, ... принес? Давай!; ключи
Пессимист – это человек, который плачется в жилетку, оптимист предпочитает плакаться в ... .; декольте
Девушка рассказывает подругам: – Мужик у меня, девчата, настоящий зверь! Порода – сексуальный ...; ленивец
Жена – мужу: – Так надоели все эти наши скандалы! Муж: – Хочешь, просто молча ...?; морду набью
– Этого супа можно было сварить литров сто, – говорит муж жене. – Он так тебе понравился? – Нет, просто тогда он не был бы таким ... .; соленым
Управляющий компанией возвращается домой с работы в отвратительном настроении. Жена спрашивает его: – Произошла какая-нибудь неприятность? – Вот именно. Парень, на котором я срываю ..., сегодня не вышел на работу.; злость
... – это человек, который думает больше о себе, чем обо мне.; эгоист
Если наука победит алкоголизм, люди перестанут ... друг друга.; уважать
– Ах, молодой человек, до чего Вы мне напоминаете моего третьего мужа... – А сколько их у Вас всего было? – ... .; Два
– А мой дед заранее знал, в какой день умрет. И даже час приблизительно. – Экстрасенс, что ли, был? – Какой к черту экстрасенс! ... ему сказал.; судья
Когда Вы говорите с богом – это называется молитва. Когда бог говорит с Вами – это называется ...; шизофрения
– Официант! Если это бифштекс, то я – идиот!!! – Это бифштекс... Это ... бифштекс!; настоящий
Для развития современной хирургии Р. Дж. Гатлинг сделал гораздо больше, чем все остальные. Он изобрел ... .; пулемет
– Как дела в школе, сынок? – Я с отцом ... не разговариваю.; двоечника
– Я не понимаю, почему все мужчины бегают за мной?! – Ну ты ...!; даешь
В действительности все не так просто, как ...!; на самом деле
Приехал в сельскую школу инспектор из района и спрашивает директора: – Почему у вас дети говорят: “пришедши, ушедши”? – А пес их знает, может они так ...!; привыкши
Задачка: Известно, что ___ов учат одевать штаны за 3 секунды... Вопрос: сколько штанов сумеет надеть обученный ___ за 5 минут?; пожарник
На новых банкнотах, в ультрафиолетовом свете, видна надпись: “ОСТОРОЖНО! УЛЬТРАФИОЛЕТОВОЕ ...!”; ИЗЛУЧЕНИЕ
– Дорогой, – спрашивает жена мужа, – это ты научил нашего ... неприличным словам? – Что ты, я наоборот говорил ему, какие слова не следует произносить.; попугая
Жена спрашивает: – Милый, ты не знаешь, где наша книга “Как прожить 100 лет”? – Я ее сжег, ... хотела взять почитать.; теща
Объявление в газете: “Хочу бросить курить, поэтому ищу работу на складе ... или взрывчатки”.; бензина
– Справочная слушает. – Алло, внученька, дай мне телефончик... ну, где пенсию платят. – Извините, ... переговоры не заказываем...; международные
В России по легенде две проблемы. Когда наш ... куда-то едет, одна судорожно начинает решать вторую.; президент
– Я, когда в командировку последний раз уезжал, в шкафу ... на медведя оставил. Представляешь – приезжаю и сразу в шкаф – сидит красавец! – Кто? Любовник? – Да нет... Медведь!; капкан
– Это безобразие! Ваша собака всю ночь выла под моим окном! – Не огорчайтесь. Она ... .; выспится днем
Водка “Буратино”... Почувствуйте себя ...; дровами
Когда заканчивается борьба за кусок хлеба, начинается борьба за кусок ...; масла
Ваше политическое кредо? – ...! (12 стульев); Всегда
– А где бабуля? – ...! (Операция Ы); Я за нее
Вы знаете что, я Вам один ... скажу, но только Вы не обижайтесь. (Мимино); умный вещь
Руссо туристо – облико ..., ферштейн?! (Бриллиантовая рука); морале
Не суетитесь! Командовать ... буду я! (Золотой теленок); парадом
Создание дилемм путем планомерного уничтожения загадок. Аноним-старший; наука
Строгая классификация того, что сегодня считается фактами. Аноним-старший; наука
Шестой закон Паркинсона. Прогресс науки обратно пропорционален числу выходящих ... .; журналов
Закон Янга. Все великие открытия делаются ...; по ошибке
А я бы не ходил. ... не дама, разговор пойдет не о любви. (Д’Артаньян и 3 мушкетера); Кардинал
Арфы нет, возьмите ...!!! (В бой идут одни старики); бубен
Вот что крест ... делает! (Иван Васильевич меняет профессию); животворящий
Закон силы Энтони. “Не тратьте силы, возьмите ... побольше!”; молоток
Второй закон Вышковского. “Все можно ..., если вертеть в руках достаточно долго.”; наладить
Наблюдение Хонгрена. “Среди экономистов ... зачастую считается частным случаем.”; реальный мир
Какую науку описывает следующим образом “Краткий определитель современных наук”: “Если зеленое или дергается – это ...”?; биология
Какую науку описывает следующим образом “Краткий определитель современных наук”: “Если дурно пахнет – это ...”?; химия
Какую науку описывает следующим образом “Краткий определитель современных наук”: “Если не работает – это ...”?; физика
Правило точности Рэя. “Измеряй микрометром. Отмечай ... . Отрубай топором.”; мелом
Дилемма Деври. “Если Вы одновременно нажали две клавиши пишущей машинки, то отпечатается та, которую Вы нажали ... .”; нечаянно
Он мне сказал: Такую личную неприязнь я испытываю к потерпевшему, что ... не могу. (Мимино); кушать
Закрыто! Заготовка ... временно прекращена... (Золотой теленок); рогов
Пьяный воздух сыграл с профессором Плейшнером шутку. Явочная квартира советского разведчика была провалена ... . (17 мгновений весны); фашистами
Вам нужно только инсценировать кражу. Вам надо взломать ... и спокойно удалиться, ничего не взяв. (Операция Ы); замок
Аксиома Анонима-младшего. “... – это создание того странного порядка, при котором наше окружение заполняется вещами, гораздо более умелыми, чем мы сами.”; Наука
Первый закон противодействия Вудда. “Толкните что-нибудь ..., и оно опрокинется.”; тяжелое
Аксиома Кана. “Если ничто другое не помогает, прочтите, наконец, ...!”; инструкцию
Второй закон Ярука. “Если новый станок дешевле, компания будет настаивать на ... старого.”; ремонте
Абрамович встречает Рабиновича. – Мойша, шо такое? Я слышал, что ты развелся уже в четвертый раз. Неужели все женщины такие привередливые? – Нет... только ... .; мама
Время – самый лучший доктор. К несчастью оно убивает всех своих ... .; учеников
– Сколько будет ноль целых пять десятых плюс одна вторая? – ... нутром чую, что ..., а доказать не могу!; литр
– Все мужики – сволочи! Всем им нужно только одно. Но почему, почему не ...?!; от меня
Экзамен по анатомии. Профессор: – Ну, как по-другому называют ...? Студентка пожимает плечами. – Хорошо... Как звали первого мужчину?! – (смущенно) Володя!; кадык
25 января – день студента. ... – день несостоявшегося студента!; 23 февраля
Дедушка с Бабушкой любили играть в прятки, утром Бабушка прятала ..., если Дедушка его находил, вечером пряталась Бабушка...; самогон
Судья обвиняемому: – Вы утверждаете, что ударили друга пивной кружкой по голове, будучи в невменяемом состоянии? – Конечно. – А чем вы можете это доказать? – Так ведь кружка была ...!; полная
Долгожителя, прожившего 180 лет, спрашивают: – Как вам удалось столько прожить? Наверное, не пили, не курили?... – Да, и это тоже. Но главное – я опоздал на “...”...; Титаник
– Почему у тебя под глазом синяк? – А пусть ...!; не лезут
Не рой яму другому, чтобы он не использовал ее как ... .; окоп
– Операцию вы перенесли хорошо, а вот перед ней вы вели себя просто невозможно: вырывались, кричали... А ваш знакомый с соседней койки вел себя еще хуже! – Еще бы! Ведь нас в клинику послали ___ .; окна мыть
Идет медицинская комиссия призывников. – На что жалуетесь? – У меня ... . – Ничего. Будете в первых окопах, чтобы лучше видеть!...; близорукость
– Каждую ночь, доктор, мне снится сон: передо мной дверь с надписью и я стучу по ней руками и ногами но никак не могу открыть. Доктор: – А что за надпись на двери? – “...”.; На себя
Студент на экзамене ничего не может ответить. Профессор ставит двойку. – Профессор, я вчера лег около двух! – В следующий раз ложиться около ... будете.; одной
– “Не” с глаголами пишется вместе или отдельно? – ...!; Через пробел
Если похмелье не лечить – оно проходит за один день. Если лечить – ...; за десять
На балу поручик Ржевский, нажравшись как свинья, приставал к женщинам. При этом его уже не интересовала ни внешность женщины, ни возраст, ни ее ... .; пол
– Чеши отсюда! А теперь ...!; пониже
– Официант, у меня в супе плавает ...! – Что, простите?; слуховой аппарат
Новости: – Двое неизвестных ворвались вчера в квартиру мужа и жены Сидоровых. Закрыв ... в ванной, неизвестные распили с хозяином бутылку водки.; хозяйку
Комментатор во время футбольного матча: – Нашей команде не хватает техники – даже маленький ... в корне изменил бы положение на поле...; бульдозер
Сосед стучится в дверь: – Привет. Мы купили новую машину. Не одолжишь немного ...?; хлеба
– Все в мире ___ . – Что ты имеешь в виду? – 100 рублей, о которых моя жена не знает, мне дороже 1000, о которых она знает...; относительно
“В Хабаровске снова увеличилось число безработных”, – передает из Нью-Йорка наш ... корреспондент.; бывший
– Мы, пионеры, решили сдать две тонны ... . Погрузили ее в машину, поехали, но не вписались в поворот. Заодно сдали две тонны металлолома...; макулатуры
Самый лучший способ создать малый бизнес в компьютерной индустрии: купи ... и наберись терпения...; большой
Он был старше ее на 10 лет. Но она села ему на шею и свесила ноги. Смотрите 30 мая во всех школах – последний ... .; звонок
Ничего так не украшает женщину, как временное ... мужа.; отсутствие
Дама в меховом магазине говорит продавцу: – Вы уж извините, что деньги такие мокрые – муж так ..., когда отдавал их мне!; рыдал
Надпись на плакате расположенном вдоль беговой дорожки: “Принимая низкий старт, убедитесь в том, что сзади никто не бежит с ...!”; шестом
Откровенничают две подруги: – Твой муж любит тебя по-прежнему? – Нет, недавно я обучила его ... .; новому способу
В течении многих лет Иванушкин думал, что изучает каратэ, а оказалось – ... .; сурдоперевод
Судья: – Почему вы украли эту машину? Подсудимый: – Она стояла у ..., и я естественно подумал, что ее хозяин умер!; кладбища
Начальник тюрьмы спрашивает нового надзирателя: – Вы уверены, что справитесь с нашими головорезами? – Конечно! А тех, кто не будет подчиняться, ...!; выгоню вон
На уроке биологии учительница делает замечание ученику: – Иванов! Ну-ка не вертись и не кривляйся, а лучше смотри на меня, а то так и не узнаешь строение и повадки ... .; обезьяны
Некрасивая дама наняла извозчика и встревоженно спросила у него: – Ваша лошадь не пугливая, она не понесет? Я боюсь... – Ничего, садитесь сударыня она не ... .; оглядывается
Жена спрашивает мужа: – Ты меня сильно любишь дорогой? – Да, ... . – Ну знаешь!...; как ты меня
– Святой отец, я грешна в том, что несколько раз в день смотрюсь в зеркало и вижу, как я красива. – Продолжайте, дитя мое. Это не грех. Это всего лишь ... .; заблуждение
В одесском порту у самого причала всплывает русалка с маленьким ребенком на руках и обращается к толпе любопытных: – А где здесь живет ... Жора?; водолаз
