Выращивание растений в темноте; этиолирование
Самец некоторых домашних и диких рогатых парнокопытных животных; бык
Массивная промежуточная опора моста или гидротехнических сооружений; бык
Общий уклад жизни, совокупность обычаев, нравов, присущих народу, определенной социальной среде и т. п.; быт
Повседневная жизнь человека, совокупность условий, в которых она проходит; быт
Биологический эквивалент дозы рентгена как внесистемная единица; бэр
Длинная земляная насыпь, созданная для защитных или хозяйственных целей; вал
Большая, высокая волна; вал
Вращающийся (обычно в подшипниках) стержень в различных механизмах, передающий движение другим, связанным с ним деталям; вал
Общий объем продукции, произведенной за определенный период, в стоимостном выражении; вал
местн. Жар, зной; вар
Промежуток времени в сто лет; столетие; век
Исторический период в развитии природы и общества; век
Тяжесть тела, определяемая при помощи взвешивания; вес
Многолетнее ядовитое травянистое растение семейства зонтичных; цикута; вех
Внешний облик, внешность, наружность; вид
Понятие, обозначающее ряд предметов, явлений с одинаковыми признаками и входящее в более общее понятие рода; вид
Совокупность особей, объединенных по общности признаков, служащая, вместе с более общими понятиями рода (семейства, отряда, класса), основой классификации животных и растений (в биологии); вид
Грамматическая категория глагола, обозначающая характер протекания действия в его отношении к результату, длительности, повторяемости и т. п. (в лингвистике); вид
Протяжный крик некоторых животных (волка, собаки, шакала и т. п.); завывание; вой
Напоминающие завывание животных; вой
Кастрированный бык, используемый в сельскохозяйственных работах; вол
Высшее учебное заведение; вуз
Лиственное дерево семейства ильмовых, отдельные виды которого имеют ценную древесину; вяз
Прозрачная шелковая ткань; газ
Облава на крупного зверя, сопровождающаяся криками людей, лаем собак; гай
Мера земельной площади, равная в среднем 8–12 га, по которой определялись размеры повинностей (на территории Эстонии и Латвии до конца XIX в.); гак
Железный или стальной крюк, используемый на судах для подъема грузов, крепления тросов и т. п.; гак
Носитель наследственности, находящийся в хромосомах клеточного ядра и участвующий в формировании признаков и свойств организма; ген
Вспомогательная зрительная труба, укрепленная на большом телескопе для непрерывного слежения за объектом исследования; гид
Горизонтальная балка, одним концом подвижно соединенная с нижней частью мачты и служащая для растягивания нижней кромки паруса; гик
Одиночный заезд на определенную дистанцию (в велоспорте и мотоспорте); гит
Пробег лошади на короткую дистанцию (в конном спорте); гит
Промежуток времени, соответствующий одному обороту Земли вокруг Солнца, содержащий 365 и 366 суток, или 12 календарных месяцев, отсчитываемых с 1 января, как единица летосчисления; год
Промежуток времени в 12 месяцев, отсчитываемый от определенного момента, дня; год
Попадание мяча или шайбы в ворота противника, засчитываемое как очко (в некоторых спортивных играх – футболе, хоккее и т. п.); гол
Стремительный бег лошади; быстрая езда на лошади; гон
Преследование, травля зверя на охоте; гон
Поведение и состояние зверей в брачный период; гон
Длина участка пашни, покоса, проходимая при обработке – вспашке, севе и т. п. – в одну сторону до поворота от одного края поля до противоположного; гон
Кожаная или веревочная петля у хомута, служащая для скрепления оглобли с дугой; гуж
Длительный, непрерывный и не вполне ясно различимый шум; гул
Отец отца или матери; дед
Актер бродячего цирка, наряженный стариком, выступавший в роли зазывалы; дед
Палуба на морских или речных судах; дек
Время, пора; дни
Жизнь; дни
Почва, грунт под водой как основание водоема; дно
Нижняя часть сосуда, вместилища; дно
Порода крупных короткошерстных служебных собак с тупой мордой и сильными челюстями; дог
Титул главы Венецианской (VII–XVIII вв.) и Генуэзской (XIV–XVIII вв.) республик; дож
Сооружение для осмотра, ремонта и постройки судов; док
Искусственный портовый бассейн для стоянки судов в районах больших приливов; док
Жилое здание, строение; дом
Жилое помещение, квартира; дом
Учреждение, имеющее культурное значение или посвященное памяти исторического лица; дом
Заведение, предприятие; дом
Почетный титул духовенства и дворян в Италии; дон
Оборонительное сооружение из камня, бетона, железобетона и т. п. для размещения различных огневых средств и ведения огня, использовавшееся накануне и во время второй мировой войны; долговременная огневая точка; дот
Крупное лиственное дерево семейства буковых с плотной древесиной, приносящее плоды – желуди; дуб
Философское понятие, означающее невещественное начало; сознание, ум, мышление, психические способности; дух
Состояние души, настроение; дух
Моральная сила, готовность к действию; дух
Мироощущение, мировоззрение; дух
Характерные черты, основные свойства, сущность; дух
Бесплотное сверхъестественное существо, оказывающее – по религиозным представлениям – влияние на жизнь человека и природы; дух
Устройство для обливания тела мелкими струями воды; душ
Гигиеническая или лечебная процедура, заключающаяся в воздействии на тело человека струями воды; душ
Летучие продукты горения с мелкими летящими частицами угля; дым
Первая – по библейскому сказанию – женщина на земле, прародительница человеческого рода; Ева
Высокое хвойное вечнозеленое дерево семейства сосновых с конусообразной кроной и длинными чешуйчатыми шишками; ель
Название буквы “ь”; мягкий знак; ерь
Небольшая пресноводная костистая рыба семейства окуневых с колючими плавниками; ерш
Жесткая щетка для чистки или мытья бутылок, стекол и т. п.; ерш
Сильная степень нагретости, раскаленности воздуха; зной; жар
Повышенная температура тела при болезни; жар
Маслянистое, нерастворимое в воде вещество, содержащееся в тканях животных и растений; жир
Карты, не имеющие значения при счете очков (в речи карточных игроков); жир
Пресс для выжимания, отжимания; жом
Свекловичные выжимки, используемые как корм скоту; жом
Насекомое с жесткими надкрыльями, защищающими летную пару крыльев; жук
Часть туловища животного, противоположная голове; зад
Большое помещение, предназначенное для многолюдных собраний или занятий; зал
Просторная парадная комната в частном доме, предназначенная для приема гостей; зал
Отверстие, соединяющее полость рта с глоткой; зев
Название последней буквы латинского алфавита; зет
Нечто плохое, дурное; зло
Расширенная нижняя часть пищевода, служащая для накопления и размягчения пищи (у птиц, насекомых, моллюсков); зоб
Опухолевидное увеличение щитовидной железы; базедова болезнь (у человека); зоб
Слова, крик, звуки, выражающие просьбу прийти, приблизиться, откликнуться; призыв, клич; зов
Костное образование, служащее, главным образом, для захватывания, откусывания и разжевывания пищи; зуб
Ощущение болезненно-щекочущего раздражения кожи, вызывающее потребность чесать раздраженное место; зуд
Дерево или кустарник с гибкими ветвями, растущие около воды; ива
Гнет владычества, господства; иго
Особые дни в середине месяца посвященные Юпитеру (у древних римлян); иды
Наименование человека, даваемое ему при рождении и отличающее его от других; имя
Личное наименование человека с его отчеством, а также его фамилия; имя
Прозвище человека или кличка животного; имя
Словесное обозначение предмета, понятия, явления; название, наименование; имя
Известность, слава, популярность; имя
Мнение, сложившееся о ком-либо; репутация; имя
Общее название существительных, прилагательных, числительных и местоимений (в лингвистике); имя
Электрически заряженная частица, образующаяся при отрыве или присоединении электронов к атому или молекуле; ион
Заявление в суд или арбитраж с просьбой о защите гражданских прав или о разрешении гражданского спора; иск
Молодой дворянин, проходящий первую ступень подготовки к рыцарскому званию в качестве личного слуги при дворе крупного феодала или короля (в средневековой Западной Европе); паж
Младшая придворная должность (в западноевропейских странах до начала XIX в.); паж
Звание придворных, выполнявших различные поручения членов царской семьи (в Российском государстве до 1917 г.); паж
Узкая щель в неплотно пригнанных стыках строительных элементов; паз
Выемка, углубление, гнездо в детали, куда вставляется выступ другой детали; паз
Доля, вносимая в капитал общества (кооперативного, акционерного и т. п.) каждым его членом; пай
Часть, доля при получении или внесении; пай
Многолетний морской дрейфующий лед в полярных бассейнах; пак
Лесной, полевой или степной пожар; пал
Свая или чугунная тумба, к которой канатами прикрепляют судно во время стоянки; пал
Металлический брусок, не допускающий движения механизма в сторону, противоположную нормальному движению при работе; пал
Бог плодородия, покровитель скотоводства, полей, гор и лесов (в древнегреческой мифологии); Пан
Польский помещик; пан
Движущая сила машин; пар
Пашня, оставленная на одно лето без посева с целью улучшения земли для последующего посева озимых; пар
Обработка пашни способом оставления ее на одно лето незасеянной; пар
Передача мяча, шайбы и т. п. из игроков своей команды в спортивной игре; пас
Положение в шахматной игре, при котором игрок не может сделать очередного хода, не подставив под удар своего короля (не находящегося в данный момент под шахом); пат
Род мармелада; пат
Место между бедрами ниже живота; пах
Густая, вязкая или твердая масса черного цвета, остающаяся после перегонки дегтя; пек
Остроконечная вершина горы с крутыми склонами; пик
Большой званый обед или ужин с обильным угощением, обычно сопровождаемый различными увеселениями; пир
Нижняя поверхность, дно топки, устья печи; под
Нижний настил в помещении, по которому ходят; пол
Совокупность признаков, связанных с размножением, по которым различаются мужские и женские особи; пол
Русская мера веса, равная 40 фунтам, по метрической системе – около 16,4 кг; пуд
Связка, горсть и т. п. однородных предметов, которые можно захватить в руку, в охапку; пук
Торчащая прядь, клок (волос, шерсти); пук
Разменная монета Афганистана, равная 1/100 афгани; пул
Одна из форм монополий, особый вид картеля, в котором прибыль всех участников поступает в общий фонд и затем распределяется между ними согласно заранее установленной пропорции; пул
Род кооперации у фермеров Канады, США и Австралии по сбыту сельскохозяйственных продуктов, особенно пшеницы, фактическим хозяином которой является финансовый капитал; пул
Струя, клуб выпускаемого пара, дыма; пуф
Мягкий низкий табурет; пуф
Очень мелкие, нежные, ближайшие к коже, пушистые перышки у птиц; пух
Короткие, мягкие и нежные волоски под шерстяным покровом животных; пух
Тонкие, нежные волоски, находящиеся в семенных коробочках; пух
Короткие волоконца, выделяемые машинами при переработке волокнистого материала и остающиеся в пряже, на ткани; пух
Пучок пеньки, ткани, бумаги для забивки заряда в оружие, заряжающееся с дула; пыж
Прокладка в охотничьем патроне, отделяющая заряд от пули, дроби; пыж
Звание представителей высшего слоя феодалов во Франции и Англии (в средние века); пэр
Звание представителей высшего слоя дворянства, обычно входивших в верхнюю палату парламента (во Франции до 1848 г.); пэр
Содержимое кишечника, выделяемое при испражнении; кал
Расположенный вдоль стены невысокий каменный или глиняный выступ, используемый как лежанка, под которым проходят печные трубы (в деревенских домах китайцев и корейцев); кан
Наплыв на стволе, ветвях или корнях дерева, используемый как материал для столярных, резных и токарных изделий; кап
Снасть для поднятия якоря; кат
Одноконный экипаж (в Англии); кеб
Прямая длинная палка, утончающаяся к одному концу, предназначенная для игры на бильярде; кий
местн. Палка с утолщением на конце; посох; кий
Горная порода, глина с большим содержанием щелочей, употребляемая в качестве мыла (при мытье или стирке в морской воде); кил
Крупнейшее морское млекопитающее рыбообразной формы; кит
Система условных обозначений или сигналов, предназначенных для передачи информации; код
Взбитая или завитая торчащая кверху прядь волос над лбом; кок
Повар на судне; кок
Толстая прямая палка с заостренным концом; кол
Уплотненный кусок – мягкого, рыхлого, рассыпающегося – вещества, принявший округлую форму; ком
Очерченное место, где при игре в городки, бабки и т. п. расположены фигуры, которые надо выбивать; кон
Одна партия игры; кон
Самец кошки; кот
Место постоянного пребывания запорожских казаков (в Запорожской Сечи XVII–XVIII вв.); кош
Военный лагерь, обоз (на Руси XI–XVI вв.); кош
местн. Легкое переносное жилище кочевника; кибитка; кош
местн. Артель, ватага; кош
Правильный шестигранник, все грани которого – квадраты; куб
Сосуд для перегонки или кипячения жидкостей в форме шара или цилиндра; куб
Крестный отец по отношению к крестной матери и к родителям крестника; отец ребенка по отношению к крестному отцу и крестной матери; кум
Выкуп за убийство родственникам убитого, спасающий от кровной мести (у тюркских и кавказских народов); кун
Выкуп родителям жениха в случае расстройства сватовства по вине семьи невесты (у тюркских и кавказских народов); кун
Ставка в карточной игре; куш
Навигационный прибор для определения скорости хода судна или пройденного им расстояния; лаг
Борт судна (при определении положения судна относительно волны, другого судна и т. п.); лаг
Способ, образец, манера; лад
Способ построения звукоряда, расположение звуков, тональность, строй музыкального произведения (в музыке); лад
Поперечные деления на грифе струнных музыкальных инструментах; лад
Клапаны с отверстиями у флейты и некоторых других инструментов; лад
Отклонение в сторону повышения рыночной цены золота, выраженной в бумажных деньгах, по сравнению с количеством бумажных денежных знаков, номинально представляющих данное количество золота; лаж
Отклонение в сторону превышения рыночного курса денежных знаков, векселей и других ценных бумаг от их нарицательной стоимости; ажио; лаж
Узкое, тесное отверстие для прохода; лаз
Тропа, где обычно ходит зверь (в речи охотников); лаз
Закрываемое крышкой отверстие в стенке парового котла, через которое проникают внутрь для осмотра и ремонта; лаз
Короткие, отрывистые звуки, издаваемые собакой; лай
Раствор смол или синтетических веществ, употребляемый для придания блеска покрываемой им поверхности, предохранения ее от порчи и т. п.; лак
Единица измерения массы в Китае; лан
Старая китайская денежная единица; лан
Одно из двенадцати зодиакальных созвездий; лев
Крупное хищное млекопитающее семейства кошачьих с короткой желтоватой шерстью и длинной, пышной гривой у самцов; лев
Основная денежная единица в Болгарии; лев
Нашивки – обычно кожаные – на кавалерийских брюках в местах, которые при езде соприкасаются с седлом; леи
Основная денежная единица в Румынии; лей
Денежная единица в Албании; лек
Пространство, заросшее множеством деревьев; лес
Срубленные и приготовленные для разных надобностей деревья; лес
Пресноводная рыба семейства карповых с плоским телом; лещ
Замерзшая, перешедшая в твердое состояние вода; лед
Изображение лица святого; лик
Хитрый, льстивый человек; лис
Верхняя часть женского платья, охватывающая грудь и спину; лиф
Предмет женского белья, облегающий и поддерживающий грудь; лиф
Верхняя надглазная часть лица человека или морды животного; лоб
Прибор для измерения глубины воды с судна; лот
Единица массы русской системы мер, равная 12,8 г и применявшаяся до введения метрической системы мер; лот
Партия товара под определенным номером, выставляемая на аукцион или участвующая в сделке; лот
Кустарник или деревце с узкими серебристыми листьями, душистыми цветками и съедобными ягодами; лох
Самец семги в период нереста; лох
Внутренняя волокнистая часть коры древесных и травянистых растений; луб
Свежий слой древесной коры, отделяемый непосредственно от ствола; лыко; луб
Волокна конопли, льна, крапивы и т. п., идущие на выделку пряжи; луб
Пространство земли, покрытое травянистой растительностью; сенокосное, пастбищное угодье; луг
Огородное растение семейства лилейных; лук
Ручное оружие для метания стрел в виде дуги, стянутой тетивой; лук
Узкая световая полоса, исходящая из источника света и воспринимаемая глазом; луч
Линия распространения энергии, поток положительных или отрицательных частиц; луч
Одна из прямых линий, расходящихся в разные стороны из одного центра; луч
Закрывающееся крышкой отверстие для проникновения вниз или внутрь; люк
Отверстие в стенке парового котла, труб и т. п. для различных целей (чистки, наблюдения, загрузки и т. п.); лаз; люк
Нижняя часть шахты, горных выработок с различного рода приспособлениями для регулирования подачи полезных ископаемых к транспортирующим средствам; люк
Древневосточный жрец, совершавший религиозные обряды и занимавшийся толкованием снов и предсказанием будущего; маг
Прибавка к ставке игрока другим игроком, дающая последнему право на долю в выигрыше (в бильярде и азартных карточных играх); маз
Бильярдный кий с бруском на конце для придачи ему устойчивости и облегчения игры; маз
Название пятого месяца календарного года; май
Травянистое растение с длинным стеблем и крупными, обычно красными, цветками, отдельные виды которого являются сырьем для изготовления наркотических веществ; мак
Тюфяк, подстилаемый при различных спортивных упражнениях для предохранения от ушибов при падении; мат
Укрытие, изготовленное из соломы, камыша и т. п., для защиты растений в парниках от холода; мат
Шероховатость, лишающая стекло прозрачности; мат
Грубая брань, сквернословие; мат
Шаг животного – обычно лошади – при беге; мах
Энергичное, резкое, быстрое движение; мах
Мягкий белый известняк, применяемый в химической, резиновой, бумажной и других отраслях промышленности; мел
Волосяной покров на теле животного; мех
Мешок из шкуры животного для хранения и перевозки жидкостей; бурдюк; мех
Устройство, приспособление для нагнетания воздуха (в кузнечном, стеклянном производстве, а также для приведения в действие некоторых музыкальных инструментов); мех
Светонепроницаемая складная гармонеобразная часть фотографической камеры (в фотографии); мех
Старинное колющее и рубящее оружие в виде обоюдоострого прямого клинка с рукояткой; меч
Сладкое сиропообразное вещество, вырабатываемое пчелами из нектара некоторых растений; мед
Очень короткий промежуток времени; мгновение; миг
Определенный промежуток времени; момент; миг
Небольшая комическая импровизированная сценка из народной жизни, исполняемая бродячими актерами (в Древней Греции и Риме); мим
Отдельная часть Вселенной; планета; мир
Земной шар, Земля со всем существующим на ней; мир
Земля как место – по религиозным представлениям – жизни человека до его смерти; мир
Дружеские отношения между отсутствие разногласий, вражды; согласие; мир
Тишина, покой, спокойствие; мир
Соглашение между воюющими сторонами о прекращении войны; мир
Древнее народное сказание о богах, легендарных героях, о происхождении мира и явлений природы; миф
Сооружение в виде высокого, длинного вала, одним концом примыкающее к берегу у входа в порт и служащее для защиты судов от морских волн; мол
Домашнее животное, помесь осла с кобылой; мул
Топкое место, где во множестве растет мох; моховое болото; мхи
Часть суши, острым углом вдающаяся в море, озеро, реку; мыс
Выдающаяся острым углом часть; мыс
Острая инфекционная болезнь лошадей – обычно жеребят, проявляющаяся в воспалении слизистой оболочки носа и глотки; мыт
Глава муниципалитета, городского управления в ряде стран; мэр
Сплошной или полый внутри шар из упругого материала, отскакивающий при ударе о твердую поверхность, употребляющийся для игры; мяч
Отсутствие, неимение; нет
Часть предмета, ближайшая к основанию, к земле; низ
Сторона, грань предмета, противоположная его верху; низ
Орудие для резания, состоящее из лезвия и ручки; нож
Режущая часть разных инструментов, аппаратов, машин; нож
Оконечность всякого горизонтального или наклонного рангоутного дерева на судне; нок
Песня, гимн в честь Аполлона у древних греков; ном
Греческое наименование округа в древнем Египте; ном
Орган обоняния на лице человека или морде животного в виде выступа с дыхательными ходами; нос
Клюв птицы; нос
Однолетнее бобовое растение, употребляемое в пищу и на корм скоту; нут
Новая экономическая политика, допускавшая элементы капитализма при сохранении командных высот в руках государства (проводившаяся советским государством с 1921 г. до конца 20-х годов с целью восстановления народного хозяйства страны); нэп
Один из жанров лирики, представляющий собою торжественное стихотворение, посвященное событию или герою; ода
Вокальное или симфоническое произведение торжественного характера, посвященное значительному событию или подвигу; ода
Старая мера веса, приблизительно равная 1,2 кг; око
Отдел рабочего снабжения (в СССР); ОРС
Горизонтальная подземная выработка, не имеющая непосредственного выхода на земную поверхность и проведенная от кровли до почвы пласта полезного ископаемого (в горном деле); орт
Хищное перепончатокрылое жалящее насекомое с яркой (обычно черной с желтым) окраской; оса
Один из четырех главных румбов в компасе, делящих горизонт на четыре части; ост
Общее название нескольких семейств жалоносных перепончатокрылых насекомых; осы
Деревянный или металлический стержень, на концы которого надеваются колеса; ось
Деталь, поддерживающая вращающиеся части машин или механизмов; ось
Воображаемая неподвижная прямая, проходящая через центр тела или пространства; ось
Название звука [j] (в лингвистике); йот
Крепостной крестьянин; раб
Явление в ряду однородных действий, проявлений; раз
Прекрасный сад, в котором – по библейскому преданию – до своего грехопадения жили Адам и Ева; рай
Место, где – по религиозным представлениям – души умерших праведников пребывают в вечном блаженстве; рай
Одно из двенадцати зодиакальных созвездий, расположенное в Северном полушарии; рак
Пресноводное беспозвоночное животное типа членистоногих, покрытое панцирем и имеющее клешни и брюшко, похожее на хвост; рак
Злокачественная опухоль наружных или внутренних органов человека и животных; рак
Болезнь растений, выражающаяся в образовании на пораженных местах опухолей, наплывов, трудно заживающих ран и т. п.; рак
Протяжный, громкий и напряженный крик животного; рев
Произрастающий в теплом климате злак, зерна которого являются ценной продовольственной культурой, а солома употребляется как поделочный материал; рис
Ряд подводных или находящихся на уровне моря скал, опасных для судоходства; риф
Поперечный ряд отверстий или петель на парусе, куда продевается веревка, служащая для уменьшения рабочей площади паруса при сильном ветре; риф
Длинная глубокая канава, размытая водой или вырытая в земле; ров
Твердый, суживающийся к концу вырост на черепе некоторых млекопитающих; рог
Музыкальный или сигнальный инструмент в виде изогнутой трубы с расширяющимся концом, издающий звук только одного тона; рог
Ряд поколений, происходящих от одного предка; род
Группа, которая объединяет несколько близких видов, обладающих общими признаками (в научных классификациях); род
Сорт. разновидность, обладающая каким-либо качеством или свойством; род
Способ, образ, направление (деятельности); род
Грамматическая категория, характеризующая в некоторых языках каждое имя существительное как относящееся к одному из трех классов: мужскому, женскому или среднему (в лингвистике); род
Семья пчел или других подобных насекомых, образующих во главе с маткой обособленную группу; рой
Вращающийся вал, цилиндр; рол
Сверток цилиндрической формы из листов или сплошной ленты материала; рол
Крепкий спиртной напиток, приготовляемый из перебродившего сока или патоки сахарного тростника; ром
Отверстие между губами; рот
Полость за губами до глотки; рот
Звучный, дикий и угрожающий рев; злобное рычание животных; рык
Металлическое кольцо, вбиваемое на судне для закрепления за него снастей, а также укрепляемое на стенке набережной для причала судов; рым
Собранная в сборку полоска легкой ткани, пришитая к чему-либо как украшение; рюш
Совокупность однородных предметов, расположенных в одну линию; ряд
Линейная последовательность мест для сидения в театре, кино и т. п.; ряд
Расположенные в одну линию ларьки или прилавки для продажи однородных товаров; ряд
Пробор, прочес волос; ряд
Совокупность величин, расположенных в определенной последовательности (в математике); ряд
Опора мостов, плотин, набережных в виде бревенчатого сруба, заполненного камнем; ряж
Участок земли, засаженный деревьями, кустами и цветами; сад
Верхняя женская одежда типа полупальто свободного покроя; сак
Звание, связанное с высоким, почетным положением; сан
Звание служителя христианского религиозного культа; сан
Заразное заболевание однокопытных, передающееся и людям, сопровождающееся появлением гнойных пузырьков в носоглотке; сап
Одна партия игры в теннис; сет
Северная пресноводная промысловая рыба семейства лососевых; сиг
