Лингвистическое серебро?; слово
Одна из возлюбленных Дон-Жуана?; Лаура
Одна из глубочайших Алтайских пещер (950 м) в Таджикистане украинской национальности?; Киевская
Одна из двух крайних точек воображаемой оси вращения Земли?; полюс
Одна из двух ролей Е. Леонова в фильме Л. Гайдая “Джентльмены удачи”?; доцент
Одна из древнейших улиц Москвы, получившая свое название еще в XV веке?; Арбат
Одна из книг Ветхого Завета в составе Пятикнижия (торы) Моисея?; левит
Одна из менее значимых, по сравнению с Библией, частей Священного предания христианства?; символ веры
Одна из муз в греческой мифологии?; талия
Одна из наиболее крупных по числу последователей религий мира. Основа религии – учение о перевоплощении душ, происходящем в соответствии с законом воздания за добродетельное или дурное поведение?; индуизм
Одна из новогодних радостей?; елка
Одна из основных единиц длины в астрономии?; световой год
Одна из популярных манекенщиц носит имя ... ?; Клаудиа Шиффер
Одна из программ для работы с электронной почтой в переводе на русский язык называется ... ?; летучая мышь
Одна из программ компьютерного перевода названа в честь ... ?; Сократа
Одна из самых маленьких гончих?; бигль
Одна из сторон предмета?; бок
Одна из школ русской лаковой миниатюры?; Федоскино
Одна миллионная доля метра?; микрон
Одна строка стихотворения?; стих
Одна из зубных паст, загадивших наши телеэкраны?; аквафреш
Однажды Суворова спросили, сколько раз он был ранен. Тот ответил, что всего был ранен 32 раза, из них 2 раза на войне и 10 раз дома. Где же Суворов получил оставшиеся 20 ран?; при дворе
Однажды этот неуклюжий человек, прозванный “Лесным гигантом”, заявил: “если не считать рабство злом, то зла в мире вообще нет.” Кто он?; Линкольн
Одни из лучших защитных экранов для мониторов делает фирма ... (ответ рус. буквами)?; поляроид
Одним из новейших экзотических азартных увлечений японцев являются гонки ... ?; кальмаров
Одно зернышко икры?; икринка
Одно и тоже название носит жук, птица и крупное африканское млекопитающее?; носорог
Одно из 30 слов лексикона Эллочки Людоедки?; парниша
Одно из Великих озер?; Гурон
Одно из внешних проявлений веселья?; смех
Одно из многих, выделываемых ловким танцором?; колено
Одно из направлений русской общественной мысли середины ХIХ века?; славянофильство
Одно из объяснений какого-либо факта, события?; версия
Одно из основных направлений христианства?; католичество
Одно из самых распространенных веществ в природе?; вода
Одно из семи христианских таинств, совершаемое над больным, заключающееся в произнесении молитв, которые сопровождаются помазанием освященным елеем лба, щек, губ, груди и рук?; елеосвящение
Одно из тpex Великиx озeр Севеpнoй Амepики – мeньшeе пo плoщади, нo тoже очень здоровoе (58 000 кв. км)?; Мичиган
Одно из трех Великих озер Северной Америки – среднее (59 600 кв. км)?; Гурон
Одно неосторожное движение – и вы отец! – Автор бессмертной фразы?; Жванецкий
Одновременное и одинаковое уменьшение номинала денег, ценных бумаг, цен на товары, сумм во всех расчетах?; деноминация
Одноклеточный организм?; микроб
Однокон. безрессорн. повозка; письменная жалоба (жаргон.)?; телега
Одноразовый головной убор из ткани?; фата
Одноцветнoе или многоцветное пoлотнищe; знамя
Одноцветное плоское изображение предмета на фоне другого цвета?; силуэт
Оживляющий врач?; реаниматор
Озеро в Африке?; Чад
Озеро в Красноярском крае?; Пясино
Озеро на Валдайской возвышенности?; Селигер
Озорник?; шалопай
Оказывается, в одном “нашем” портовом городе существует памятник Джузеппе Гарибальди. Это город ... ?; Таганрог
Оказывающий на нас давление француз?; Паскаль
Окатанный рекой или ледником камень, глыба размером от 0,1 до 10 м?; валун
Окаянная, погубившая буланого коня (из песни)?; круча
Океанолог и полярный исследователь, руководитель экспедиции “Северный полюс – 2”?; Сомов
Оковы, цепи, нередко характеризующие супружеские отношения?; узы
Оконечность реи?; нок
Округлый глиняный сосуд для приготовления и хранения пищи?; горшок
Окружность яйца?; овал
Окуневая рыба?; судак
Олень, распространенный в Северной Америке?; вапити
Олимпийский пентатлон – по-русски?; пятиборье
Олицетворение женского начала?; лоно
Омар Хайям: “Тот, кто в юности верует в собственный ум // Стал в погоне за истиной сух и угрюм. // Притязающий с детства на знание жизни // Виноградом не став, превратится в ...”?; изюм
Омар, но не Хайям?; лобстер
Омлет без молока.; яичница
Он – первый президент Всемирного клуба одесситов?; Жванецкий
Он был в прямом смысле слова “звездой” в этом созвездии четырёх музыкантов из Ливерпуля? (имя + фамилия); Ринго Старр
Он был лучшим другом Киану Ривза до тех пор пока не умер в наркотической ломке?; феникс
Он был настолько виртуозен, что его фантастическое мастерство приписывалось дружбе с дьяволом. Кто это?; Паганини
Он был отчислен за бесперспективность из Литературного института, что не помешало ему за одну из своих поэм “Мама и нейтронная бомба” получить Государственную премию СССР 1984 года. Кто он?; Евтушенко
Он выступал за сборную СССР по футболу и до, и после нескольких лет, проведённых в заключении?; Стрельцов
Он есть в кинотеатре?; экран
Он занимает первое место среди металлических элементов в Мировом океане?; натрий
Он имеется во многих языках, но на русский никогда не переводится?; артикль
Он исчез не только с площади, но и с бухгалтерских столов (памятник в Москве и арифмометр). Это ... ?; железный Феликс
Он написал очень много забавных законов.; Мерфи
Он писал: “Сотри случайные черты – И ты увидишь: мир прекрасен”?; Блок
Он похитил у богов огонь для человека?; Прометей
Он признал свое поражение в борьбе с тараканами и перестал эту борьбу финансировать. Это ... ?; пентагон
Он решил стать актером, после того как в боксерском поединке ему порвали рот?; Рурк
Он родил Юзера... Кто он?; ламер
Он родился в семье мусорщика в Палермо и настоящее его имя – Джузеппе Бальзамо. Это широкоизвестный шарлатан?; Калиостро
Он сконструировал первую счетную машину и не подозревал, что его именем назовут один из языков. Кто он?; Паскаль
Он сыграл тетушку Чарли в популярном отечественном фильме?; Калягин
Он так беспощаден был и в живописи и в поэзии, что Николай I на его приговоре написал: “Под строжайший надзор, с запрещением писать и рисовать”. Кто он?; Шевченко
Он тренировал хоккеистов, а его дочь – фигуристов?; Тарасов
“Он устал. Опустился на песок. Я сел рядом. Мы помолчали. Потом он сказал: Звезды очень красивые, потому что где-то там есть цветок. Хоть его и не видно.” Как называется это произведение А. С. Экзюпери?; маленький принц
Она бывает и черная, и красная, и заморская?; икра
Она бывает черная, белая, красная, янтарная, рядовая, сборная, вялая и сладкая?; уха
Она была последней представительницей Ганноверской династии и правила Англией 64 года?; Виктория
Это – маленькое, сморщенное и, как правило, коричневое. Есть не у каждой женщины, но именно с этим женщина привлекательнее. Что это?; изюминка
Она пронзает влюбленное сердце?; стрела
Она рождается старой и постепенно молодеет. Это комедийная сторона жизни. Оно же рождается молодым и постепенно стареет. Это сторона трагедийная. Как вы считаете, что подразумевал Оскар Уайльд под “Она” и “Оно”?; душа и тело
Они называют это: роза, улитка, капуста, водоворот, кренделюшка. Как этот символ называется у нас?; собака
Они начнут вам помогать, если вы обратитесь к апитерапевту?; пчелы
Они производят впечатление кошки, которой вздумалось прогуляться по клавишам фортепиано, или обезьяны, которая овладела ящиком с красками. Так писала газета “Фигаро” лет 120 назад. Кто они?; импрессионисты
Они там, где дело нечисто, там, где гибнет все доброе и непорочное и где сатанинский принцип берет верх. Так о них говорят французские криминалисты. Кто они?; женщины
Опасное правонарушение?; убийство
Опасные и красивые ягоды жимолости называют ... ?; волчьи ягоды
Опера А. Гретри?; Люсиль
Опера С. Рахманинова, основанная на поэме А. Пушкина “Цыганы”?; Алеко
Опера С. Прокофьева?; игрок
Опера Ш. Гуно?; Фауст
Опера Дж. Верди, основу либретто к которой составила “Дама с камелиями” А. Дюма?; Травиата
Оперная певица?; дива
Опись, письменный перечень?; реестр
Оплата за поражение, проигрыш?; реванш
Опознавательный знак младенца в роддоме – это ... ?; бирка
Опора для рельсов, укладываемая на балласт?; шпала
Опорная часть оси или вала?; цапфа
Оптическая установка глаза при покое аккомодации?; рефракция
Оптический прибор для рассматривания диапозитивов на просвет?; диаскоп
Оптический прибор?; лазер
Оптовый торговец, посредник в торговых операциях?; дилер
Опытный пpеступник?; академик
Оратор Древнего Рима?; Цицерон
Орган власти и управления губернии в России конца XVIII века – возглавлял губернское дворянское собрание?; предводитель дворянства
Орган власти и управления губернии в России конца XVIII века – возглавлял Духовную консисторию?; епископ
Орган власти и управления губернии в России конца XVIII века – помощник губернатора, возглавлявший Казенную палату и ведовавший всеми финансовыми вопросами?; вице-губернатор
Орган власти и управления Российской империи в 20–70-е годы XVIII века – глава государства?; император
Орган полового размножения цветковых растений?; цветок
Орган, осуществляющий связь и обмен веществ между организмом матери и плодом?; плацента
Организатор похода аргонавтов за золотым руном?; Ясон
Организация, занимающаяся снабжением или обслуживанием?; база
Организм, полученный в результате скрещивания генетически разных родительских форм (видов, пород)?; гибрид
Организованная вооруженная борьба между государствами, нациями, социальными группами?; война
Организованная группа членов политической партии?; фракция
Органы власти и управления Российской империи в 20–70-е годы XVIII века – центральные учереждения, ведавшие отдельными отраслями государственного управления и подчинявшиеся сенату?; коллегии
Органы правопорядка в США?; полиция
Орденская ткань?; муар
Орешек, крепость в истоке Невы?; Нотебург
Оркестровое вступление к опере, балету, спектаклю и т. п., а также самостоятельная муз. пьеса?; увертюра
Орнаментальный мотив рококо?; рокайль
Ортодоксальный иудей согласно канонам в течение суток не снимает ... ?; головной убор
Орудие для ловли рыбы?; перемет
Орудие труда чертежника?; циркуль
Орудие для навесной стрельбы по укрытым целям?; гаубица
Оружие для обороны крепостей?; каток
Оружие Зевса и Ильи-пророка, которое современный мужчина пришил к своей ширинке?; молния
Оружие музы?; лира
Осведомитель (сленг)?; дятел
Осведомитель?; информатор
Освежеванное и выпотрошенное тело убитого крупного животного, зверя?; туша
Осветительный прибор мгновенного действия?; фотовспышка
Освобождение большого количества энергии в ограниченном объеме за короткий промежуток времени?; взрыв
Осенний месяц?; октябрь
Осенью 2000 года компания Red Hat предоставила свою новую версию ОС Linux, которая имеет версию ... ?; 7
Основа многих тканей?; лен
Основа, фундамент, основание?; базис
Основаный Пушкиным журнал?; современник
Основателем словацкой народной партии был ... ?; Глинка
Основатель известной династии цирковых артистов, клоунов и дрессировщиков?; Дуров
Основатель компании Apple Computer?; Джобс
Основатель японской компании “Хонда” (основана в начале 50-х годов) – ведущего производителя автомобилей и мотоциклов в Японии, впервые ставший известным благодаря изобретению в 1938 году поршневого кольца? Фамилия Хонда, назовите имя; Соичиро
Основательница и настоятельница католического Ордена милосердия. Нобелевская премия мира (1979)?; Тереза
Основная денежная единица в СССР?; рубль
Основная профессия (теперь уже, к сожалению, бывшего) ведущего “Что? Где? Когда?” В. Я. Ворошилова – это ... ?; художник
Основная профессия в Фирме “Туборг”?; пивовар
Основная еда 50% населения Земли?; рис
Основная единица в армии Др. Рима (4,5–10 тыс. чел.)?; легион
Основное оружие Соловья-Разбойника?; свист
Основной элемент скелета человека?; кость
Основной язык Пакистана?; урду
Основным сырьём для добычи этого металла является кассетирит и консервные банки?; олово
Основоположник дельтапланеризма?; икар
Особа с кредо “только без рук”?; недотрога
Особенность русской национальной охоты, похоже состоит в постоянном употреблении водки, согласно фильму режиссера ... ?; Рогожкина
Оставив пост главы Microsoft Corp. Билл Гейтс получил титул “Главный ... ”?; разработчик программ
Останки тел святых?; мощи
Остап Бендер: “Меня давно влечет к административной деятельности. В душе я бюрократ и ...”?; головотяп
Остап-Сулейман-Берта-Мария Бендер-бей предполагал, что на его надгробии высекут: “Здесь лежит известный теплотехник и ...”?; истребитель
Остаток нефтеперегонки, чёрная смолистая масса, используемая при дорожных работах и пр.?; гудрон
Остов, скелет из балок, стержней и т. п., придающий конструкции прочность и форму?; каркас
Острая вирусная болезнь, сопровождающаяся поражением дыхательных путей, сыпью?; корь
Острая приправа для кушаний, маринадов?; специя
Острая приправа?; горчица
Остров – родина одноименной породы бесхвостых кошек?; Мэн
Остров Афродиты?; Кипр
Остров в Вест-Индии?; Кюрасао
Остров в Тихом океане, вблизи Австралии?; Норфолк
Остров кольцевой формы, окружающий мелководную лагуну, созданный деятельностью коралловых полипов?; атолл
Остров Моонзундского арх.?; Муху
Остров, на котором Наполеон Бонапарт закончил свои дни?; Святой Елены
Остров, на котором расположена столица Японии?; Хонсю
Остров, построенный кораллами?; атолл
Острова в Карском море носят название газеты ... ?; известия
Островное государство в Карибском море?; Куба
Острое нарушение мозгового кровообращения?; инсульт
От имени этого человека, так и не пришедшего к власти, в 1825 году была выпущена монета 1 рубль. Имя?; Константин
Болезнь, от которой делали уколы в “Кавказской пленнице” знаменитой тройке?; ящур
От этого отказалась в 90-х годах прошлого века территория Юта, чтоб стать полноправным американским штатом – от ... ?; многоженства
Отбивная ударника?; ритм
Отбор и соединение фрагментов будущего фильма?; монтаж
Отвар, основа всякого супа?; бульон
Отверстие в кормовой части корпуса судна, через которое проходит ось руля?; гельмпорт
Ответный удар?; контрудар
Отвоeвывая cвoи дoма свepчки дepyтcя ... (чем?); усиками
Отвратительная раса в StarCrafte?; зерги
Отгадайте загадку: На одной яме – сто ям с ямой, на одной горе – сто ямок. Что это?; наперсток
Отгул плюс прогул?; загул
Отдача имущества в обеспечение обязательств, под ссуду?; залог
Отделка блузки, платья или рубашки в виде оборки из ткани или кружев вокруг ворота или на груди?; жабо
Отдельная группа звезд?; созвездие
Отдельная группа обмоток генератора?; фаза
Отдельная часть чего-нибудь?; кусок
Отдельно стоящая главная башня феодального замка?; донжон
Отдельное действие, движение?; прием
Отдельные деревья и древостои, поваленные ветром?; ветровал
Отдельные предметы или люди, существа, немногие по числу?; единица
Отдельный завершенный участок, часть в последовательном строительстве?; очередь
Отец золовки по отношению к ее племяннице?; дед
Отец и наставник “на-найцев”?; Алибасов
Отец и сын, звезды мировой эстрады?; Иглесиас
Отец разрешил ему учиться в консерватории лишь при условии, что он никогда не запятнает свой род написанием всяких там опер и балетов. Сын не сдержал слово и создал “Жизель” и “Корсар”. Кто он?; Адан
Отколотый кусочек древесины?; щепка
Открытая горная выработка?; карьер
Откуда звонил слон Корнею Ивановичу Чуковскому?; от верблюда
Отличающаяся цветом или выступающая окантовка по краям чего-либо?; бордюр
Отличительной чертой какой породы кошек являются вошедшие в легенду “Сапфировые глаза”? (ед. ч., им. п.); сиамская
Отличительные черты творчества какого-либо художника или писателя, его стиль?; манера
Отлучение от церкви, церковное проклятие?; анафема
Отмена ограничений, уравнивание в правах?; эмансипация
Отмеренное количество лекарства или какого-либо действующего на организм фактора?; доза
Отмирание, постепенная утрата?; атрофия
Отношение гипотенузы к прилежащему катету?; секанс
Отношение противолежащего катета к гипотенузе?; синус
Отправитель письма?; адресант
Отрасль растениеводства?; цветоводство
Отрасль сельского хозяйства?; животноводство
Отрезная часть ценной бумаги, передаваемая в качестве расписки при получении прибыли (дивидендов, процентов)?; купон
Отрицательный электрод?; катод
Отрыв от земли, но не витание в облаках?; взлет
Отрывистые горловые звуки?; икота
Отстранение от должности и привлечение к ответственности высшего должностного лица?; импичмент
Отсутствие мыслей не мешает быть ... ?; единомышленником
Отсутствие нужды?; достаток
Отсутствие полового влечения?; асексуальность
Отсутствие противодействия противозаконным действиям?; попустительство
Отсутствие света?; тьма
Оттиск, полученный со столбца набора, передается автору для последней правки (типогр.)?; гранка
Отшельник, живущий в морской раковине?; рак
Офицер денщику: “Сапоги надо чистить с вечера, чтобы утром надевать на свежую ...”?; голову
Офицер русского флота, возглавивший первую и вторую камчатские экспедиции?; Беринг
Офицерское звание в СС фашистской Германии, соответствующее в вермахте: генерал-фельдмаршал?; рейхсфюрер
Официальное сообщение о переговорах между государствами, о международных договорах и т. д.?; коммюнике
Официальный язык Австрии?; немецкий
Охлаждающий вентилятор (комп.)?; кулер
Охотник, выслеживающий зверя по уликам, оставляемым им на земле?; следопыт
Охрана, встает так рано! Если рядом воробей – мы готовим пушку! – чей голос?; Анофриев
Оценка вкусовых качеств?; дегустация
Оценка новой Москвы Иваном Грозным в фильме “Иван Васильевич меняет профессию”?; лепота
Оцепление местности с целью поимки преступника?; облава
Очень быстро вращающаяся (с периодом порядка сотых долей секунды) нейтронная звезда, создающая анизотропное излучение, воспринимаемое наблюдателем как периодически повторяющиеся импульсы излучения?; пульсар
Очень краткая характеристика, оценка?; ярлык
Очень пористая, ноздреватая разновидность вулканического стекла?; пемза
Очень редкая вещь?; раритет
Очень сильный шум?; грохот
Очень тонкий слой облаков в мезосфере (70–90 км), иногда заметный из-за их слабого серебристо-синего свечения на фоне ночного неба? (ответ – прил. в мн. ч.); серебристые
Очень ядовитая змея?; аспид
Очертание предмета?; абрис
Очищение духа при помощи “страха и сострадания” по Аристотелю?; катарсис
Очко в Deathmatсh-e?; фраг
Ошейник для непарнокопытных?; хомут
Ошибка в установке оптических приборов?; коллимация
Ошибка на воровском жаргоне?; запарка
Ошибочка?; ляпсус
Ощущение жжения, преимущественно в нижнем отделе пищевода, обусловленное забрасыванием кислого желудочного содержимого в пищевод?; изжога
Пoвoзка для пepeвозки гpузoв; прицеп
Пpавила поведения?; закон
Пpитон pазвpата?; бардак
Павел Коган “поднимал паруса” на ... ?; бригантине
Павлин, обезьяна, лев, свинья – Абуль Фараджа считал, что эти воплощения последовательно принимает ... ?; пьяница
Падающая звезда?; метеор
Пакетик для вкладывания в него письма?; конверт
Палкиным звали Николая I, а кто такой Николай Палькин?; русский поэт
Паломник-богомолец, идущий на поклонение к “святым местам”?; пилигрим
Паломничество в Мекку, которое каждый должен совершить хоть раз в жизни?; хадж
Пальма, которая для филиппинца является источником сахара, вина, спирта, еды, питья и даже рыболовных снастей?; аренга
Пальмовый плод?; финик
Памятная завязка?; узелок
Памятник др.-рим. архитектуры?; колизей
Папа римский (имя), издавший буллу о реформе календаря для перехода на новый стиль летоисчисления?; Григорий
Папин брат?; дядя
Папу богатыря Руслана звали ... ?; Лазарь
Пара для Одессы-мамы?; Ростов
Пара обуви, “перекочевавшая” из повести Гоголя в название оперы Чайковского?; черевички
Пара, получаемая не на уроке, а в роддоме?; двойня
Параллелограмм с равными сторонами?; ромб
Парнокопытное животное семейства оленей?; косуля
Парнокопытное млекопитающее?; косуля
Пародийный злодей из одноименного фильма в исполнении Жана Маре?; Фантомас
Пароль из фильма “Подвиг разведчика” звучит так: “У вас есть ... шкаф”?; славянский
Пароход, которому посвятил свое известное произведение Глинка, курсировал между Павловским вокзалом и ... ?; Детским селом
Партия в теннис?; сет
Партия объявляла и все откликались – это ... ?; призыв
Партнерами Кэвина Костнера по танцам в вестерне, удостоенном семи “Оскаров” были?; волки
Парусиновый рукав для определения направления ветра?; виндзейль
Парусная гонка в программе Олимпийских игр?; регата
Парусное военное судно?; фрегат
Парусное судно с выдвижным килем?; швертбот
Патрулирование в воздухе самолетов?; барражирование
“Пацан” по-итальянски; бамбино
Певец Николай Гнатюк неоднократно настаивал, чтобы эта птица выбрала именно его?; птица счастья
Певец-профессионал-одиночка?; вокалист
Певица Лика (Павлова) после записи первых песен стала называться ... ?; Стар
Певчая птичка из отряда воробьиных?; иволга
Певческий голос, который “очень низко пал”?; бас
Пенообразный синтетический материал, широко применяемый для набивки мягкой мебели?; поролон
Первая из новелл фильма “«Операция Ы» и другие приключения Шурика”?; напарник
Первая книга о Ленине была написана в 1829 году ... ?; Муравьевым
Первая олимпийская золотая медаль была получена Россией за ... ?; фигурное катание
Первая профессия народной артистки России Элины Быстрицкой во фронтовом поезде?; санитарка
Первая революция, порожденная всемирной империалистической войной, разразилась. Начинающееся так послание называется ... ?; письма издалека
Первая российская марксистская нелегальная газета, 11(24).12.1900 – октябрь 1905 (№ 112). № 1 вышел в Лейпциге, с № 2 – в Мюнхене, Лондоне, Женеве. Средний тираж 8 тысяч экземпляров?; искра
Первая русская монета (10–11 вв.); крестьяне, взявшие в долг деньги (Россия, 14–16 вв.)?; серебреник
Первая часть колы?; кока
Первая чемпионка мира по шахматам?; Менчик
Первенец Великого Инки наследовал трон, если его мать приходилась его отцу не только женой, но и ... ?; сестрой
Первое блюдо?; щи
Первое представление нового спектакля?; премьера
Первое выступление?; дебют
Первой передачей советского телевидения был репортаж о ... съезде ВКП(б). Каком?; 18
Первой рабочей специальностью Виктора Степановича Черномырдина была ... ?; слесарь
Первой советской ЭВМ была машина с абреввиатурой ... ?; МЭСМ
Первопереселенцы, малые народы Индии, сохранившие пережитки?; адиваси
Первую в мире электробатарейку изобрел ... ?; Вольта
Первую ракету изобрел?; Кибальчич
Первые записи группы “Воскресение” были вначале приняты за песни группы ... ?; машина времени
Первые зубы называются ... ?; молочные
Первые почтовые ящики России украсили улицы именно этого города?; Санкт-Петербург
Первый артист советской эстрады, ставший народным артистом СССР?; Утесов
Первый бульвар в Москве?; Тверской
Первый в истории воздушный бой закончился тараном. Австрийский барон Розенталь был сбит этим знаменитым летчиком. Его звали ... ?; Нестеров
Первый в мире почтовый ящик появился в этом уединенном месте в надежде на проплывающий мимо корабль. Как оно называется?; мыс Доброй Надежды
Первый в мире пулемет изобрел ... ?; Максим
Первый в мире ядерный реактор был построен в 1942 году на теннисном корте этого американского университета. Какого?; Чикагского
Первый воздушный шар создан ... ?; Монгольфье
Первый выход на сцену?; дебют
Первый и величайший реалист: создатель реальности; бог
Первый парашют изобрел ... ?; Котельников
Первый поцелуй мужчина крадет, второй – вымаливает, на третий соглашается, а все остальные – ...?; терпит
Первый президент США (годы жизни 1732–1799, годы президентства 1789–1797, федералист)?; Вашингтон
Первый реально работающий электронный компьютер ENIAC был запущен 14 февраля ... года?; 1946
Первый русский палеонтолог?; Ефремов
Первый русский реформатор?; Столыпин
Первый сатирический журнал в России назывался ... ?; трутень
Первый цвет радуги?; красный
Первый цветной лазерный принтер появился в ... году?; 1988
Первый чемпион мира по шахматам?; Стейниц
Первый этап портняжного дела?; обмер
Первым микропроцессором корпорации Intel был процессор под номером ... ?; 4004
Первым раскусил Маркса Бисмарк: “С этим ... Европа еще наплачется!” (Мюллер Штирлицу, по книге Ю. Семенова “Приказано выжить”)?; бухгалтером
Первым слушателем сказок этого великого сказочника был кот по имени Карл?; Андерсен
Первыми, кто в 1984 г. преодолел мегабитный барьер и изготовил 1024 килобитную микросхему, были ... ?; японцы
Перевозка пассажиров или грузов лошадьми (как занятие, промысел)?; извоз
Перевозчик умерших в греческой мифологии?; Харон
Перегонка, реформинг, каталититический крекинг, депарафинизация – этапы переработки сырой...?; нефти
Перегородка, разделяющая алтарь и среднюю часть храма?; иконостас
Перед тем, как стать русско-советским писателем, Михаил Аркадьевич Шейнкман решил переименоваться... И переименовался. Как звали его русско-советские люди?; Светлов
Передвижение войск в заданный район?; марш
Передвижник, автор картин “Приезд иностранцев в Москву 17-го столетия”, “Поход московитян. XVI век”?; Иванов
Перелетная птица с черным оперением?; грач
Передний зал – комната перед главным залом?; аванзал
Передняя часть античного храма?; пронаос
Передовая позиция?; форпост
