Xищнaя птицa; дербник
Англ. гуманист, друживший с Томасом Мором и Эразмом Роттердамским; Колет
Англ. драматург 16 в. (“Испанская трагедия”); Кид
Англ. драматург 17–18 вв.; Лилло
Англ. драматург, автор комедии “Милый лжец”; Килти
Англ. драматург, автор пьесы “Остров всемогущих”; Арден
Англ. драматург; Марло
Англ. естествоиспытатель XVII в., установивший клеточное строение ткани; Гук
Англ. естествоиспытатель, автор трактата “Происхождение видов путем естественного отбора”; Дарвин
Англ. естествоиспытатель; Дарвин
Англ. живописец; Тернер
Англ. золотая монета, находившаяся в обращении до 1817 г.; гинея
Англ. золотая монета; гинея
Англ. изобретатель и химик; Бивен
Англ. изобретатель парового молота; Несмит
Англ. изобретатель. Создал крутильную машину (1730), предложил механич. (самолетный) челнок для ручного ткацкого станка (1733); Кей
Англ. информ. агентство; рейтер
Англ. исследователь Австралии; Берк
Англ. историк, автор “Истории протестантской реформации”; Коббет
Англ. ихтиолог; Таккер
Англ. канцлер, казненный Генрихом 8-м за гос. измену; Уолси
Англ. киноактриса, сыгравшая героинь в фильмах “Унесенные ветром” и “Мост Ватерлоо”; Ли
Англ. кинореж.; ам. писатель (романтизм, новеллы); Ирвинг
Англ. кинорежиссер; Ирвинг
Англ. кинорежиссер, постановщик к/ф “Дети райка”; Карне
Англ. кинорежиссер, снявший картину “Леди Гамильтон”; Корда
Англ. кинорежиссер; амер. : физик; писатель; Андерсон
Англ. князь; лорд
Англ. комед. маска; панч
Англ. комедиант, автор популярного киношоу; Хилл
Англ. композитор, дирижер, пианист, музыковед; Тови
Англ. композитор; Блисс
Англ. король захвативший Кипр; Ричард
Англ. король, учредивший шесть веков назад орден Подвязки; Эдуард
Англ. математик 19 в.; барабанщик группы “Queen”; 12-й президент США; Тейлор
Англ. математик; Муавр
Англ. мера веса; фунт
Англ. мера длины, равная 91,44 см; ярд
Англ. мера длины; палм
Англ. мера массы, равная 28,35 грамма; унция
Англ. мера объема жидкостей и сыпучих тел = 36,3687 л., в США 35,2393 л; бушель
Англ. мера объема, 1/8 галлона = 0,5683 л; пинта
Англ. мера площади; акр
Англ. можжевеловая водка; джин
Англ. монета из чистого золота, подарившая свое имя африканской стране; гинея
Англ. мореплаватель 16 века; Дрейк
Англ. мореплаватель, историк, драматург; Роли
Англ. мореплаватель, убитый гавайцами; Кук
Англ. мореплаватель; Гудзон
Англ. остров в Бристольском заливе; Ланди
Англ. певица; Уилсон
Англ. писатель (“Пентамерон”); Лендор
Англ. писатель (1612–80); Батлер
Англ. писатель (о Винни-Пухе); Милн
Англ. писатель 15 века, автор эпопеи “Смерть Артура”; Мэлори
Англ. писатель 19 века, автор романа “Марий – эпикуреец”; Патер
Англ. писатель 19 века, мастер приключенческого романа; Сидни
Англ. писатель 19 в.; Лир
Англ. писатель XVIII в., сатирик-виртуоз; Свифт
Англ. писатель польского происхождения (1857–1924 гг.), автор приключенческих романов; Конрад
Англ. писатель эп. Просвещения, сатирик; Арбетнот
Англ. писатель, “шпионский” роман; Карре
Англ. писатель, автор исторических романов “Пуритане”, “Квентин Дорвард”; Скотт
Англ. писатель, автор романа “Бремя страстей человеческих”; Моэм
Англ. писатель, автор романа “Замок Броуди”; Кронин
Англ. писатель, автор романа “Луна и грош”; Моэм
Англ. писатель, автор романа “Я, Клавдий”; Грейвс
Англ. писатель, автор романа “Желтый кром”; Хаксли
Англ. писатель, лауреат Нобелевской премии по литературе; Элиот
Англ. писатель, на совести которого роман “Благородное ремесло”; Делони
Англ. писатель, сатирик-моралист; Во
Англ. писатель, создатель жанра исторического романа; Скотт
Англ. писатель-литературовед XX века; Аллен
Англ. писатель-фантаст, автор романа “2001: космическая одиссея”; Кларк
Англ. писатель-фантаст; Уэллс
Англ. писатель?; Кэрролл
Англ. писатель; Барри
Англ. писательница, имя Джозефина; Тей
Англ. писательница (“Аббатиса Круская”, “Выселение”, “Баллада о предместье”); Спарк
Англ. писательница 19 в.; Бронте
Англ. писательница; Сейерс
Англ. политик, основатель английского Союза фашистов; Мосли
Англ. политич. мыслитель; Понет
Англ. поллитра; пинта
Англ. полукровн. лошадь универсальн. назначения; коб
Англ. полярный исследователь; персонаж трагедии “Макбет”; Росс
Англ. полярный исследователь; Баффин
Англ. поэт средневековья; Чосер
Англ. поэт-классик; Байрон
Англ. поэт-романтик 19 века; Шелли
Англ. поэт-романтик, пэр Англии; Байрон
Англ. поэт; Китс
Англ. путешественник, открывший северный магнитный полюс Земли; Росс
Англ. путешественник; Кук
Англ. радиохимик, Ноб. премия 1921 г.; Содди
Англ. религиозное песнопение; антем
Англ. романист, больше всего известный как создатель вампира по имени граф Дракула; Стокер
Англ. сорт пива; эль
Англ. социалист-утопист, осн-ль опытной комм. колонии в США; Оуэн
Англ. стар. танец; жига
Англ. танец; фасон мужской обуви; шимми
Англ. танец; джига
Англ. трагик XIX в., который умер, играя Отелло; Кин
Англ. упряжная порода лошадей; гакне
Англ. ученый, лауреат Нобелевской премии по физике; Пауэлл
Англ. ученый, лауреат Нобелевской премии по физиологии и медицине; Чейн
Англ. ученый, лауреат Нобелевской премии по химии; Синг
Англ. ученый, лауреат Нобелевской премии по экономике; Мид
Англ. ученый-физик, лауреат Нобелевской премии; Баркла
Англ. физик, изобретатель масс-спектрометра; Астон
Англ. физик, один из основоположников квантовой механики; Дирак
Англ. физик; ед. измерения работы и энергии; Джоуль
Англ. физик; сов. баскетболист; Томсон
Англ. физик; Бернал
Англ. физиолог, заслуживший Нобелевскую премию; Кац
Англ. философ 17 века; Гоббс
Англ. философ 18 в., материалист; Локк
Англ. философ и логик, с именем которого связано слово “бритва”; Оккам
Англ. философ и писатель 15–16 вв.; Мор
Англ. философ эмпирик; Бэкон
Англ. философ; Айер
Англ. химик и физик. Нобелевская премия (1904); Рамзай
Англ. химик-органик, ноб. лауреат; Хоуорс
Англ. химик-органик; Инголд
Англ. химик; Дэви
Англ. хлебная мера; пек
Англ. художник (1878–1961, “Нищие”); Джон
Англ. художник; Ромни
Англ. шахматист, межд. гроссмейстер; Шорт
Англ. 4-колесн. рессорн. охотничий экипаж; брек
Англ.: астроном; философ; ам. генерал армии; Брэдли
Англ. биохимик, Нобелевск. премия 1962; Перутц
Англ. генерал, в 1911–17 гг. военн. атташе в России; Нокс
Англ. город в графстве Мерсисаид; Роби
Англ. дирижер, раб. в нач. 20 в. в Мариин. театре в Петербурге; Коутс
Англ. мера длины 10,16 см для промеров лошади; хэнд
Англ. семья художников, резчиков монетных штемпелей 18–20 вв.; Вайон
Англ. ученый, изобретатель гребного винта; Рассел
Англ. физик, Ноб. лауреат 1904 г.; Релей
Англ. физик, Нобелевск. лауреат 1951 г.; Уолтон
Англ. физики, основ. рентгеноструктурн. анализа, Нобел. лаур.?; Брэгг
Англ. физикохимик, блестящ. педагог, основатель научн. школы; Гарнер
Англ. физикохимик, презид. Лондонск. хим. об-ва (1950–1955); Ридил
Англ. физикохимик, президент Лондонск. хим. об-ва (1937–39); Доннан
Англ. физикохимик, президент Фарадеевского об-ва (1952–53); Тэйлор
Англ. химик 19 в., ввел термины “золь” и “гель” в 1864 г.; Грэм
Англ. химик и биохимик (1785–1850); Праут
Англ. химик, изобрел (1889) совм. с Дьюаром бездымн. порох; Эйбел
Англ. химик, создал (1868) таблицу хим. элементов; Одлинг
Англ. химик-органик (1869–1929); Перкин
Англ. химик-органик, Нобелевская премия 1937; Хеуорс
Англ. химик-органик, нобелевск. лауреат 1957 г.; Тодд
Англ. химик-органик, президент Лондонск. хим. об-ва (1956–57); Хест
Англ. химик-технолог 19 в.; Дикон
Английская борзая; уиппет
Английская буква; ви
Английская династия; Стюарт
Английская единица длины = 3 фута; ярд
Английская единица массы; слаг
Английская единица объема?; галлон
Английская мера веса; фунт
Английская мера длины; фут
Английская мера жидкости, близкая к нашей поллитре, но только по объему, но не идеологии; пинта
Английская писательница, мастер детективных романов и повестей; Кристи
Английская река, впадающая в Северное море; Уир
Английская традиционная единица длины, 2,54 см; дюйм
Английская хлебная мера; пекх
Английские врачи считают это таким же симптомом различных глазных заболеваний, как зеленых чертиков – симптомом белой горячки. Что же это?; привидения
Английские горячие или комбинированные закуски; савори
Английские физики, отец и сын. Нобелевская премия (1937, совместно с Дэвиссоном); Томсон
Английские физики. Нобелевская премия (1915); Брэгг
Английский “шаг”; степ
Английский антрополог и археолог; Лики
Английский астроном; Брэдли
Английский биофизик и генетик. Нобелевская премия (1962, совместно с Дж. Уотсоном и М. Уилкинсом); Крик
Английский биохимик и физикохимик. Нобелевская премия (1952, совместно с Р. Сингом); Мартин
Английский биохимик, Нобелевские премии 1958, 1980; Сенгер
Английский биохимик. Нобелевская премия (1929, совместно с Х. Эйлером-Хельпином); Гарден
Английский биохимик. Нобелевская премия (1945, совместно с А. Флемингом и Х. У. Флори); Чейн
Английский биохимик. Нобелевская премия (1952, совместно с Мартином); Синг
Английский биохимик. Нобелевская премия (1958; 1980, совместно с П. Бергом и У. Гилбертом); Сенгер
Английский биохимик. Нобелевская премия (1962, совместно с Дж. К. Кендрю); Перуц
Английский биохимик. Нобелевская премия (1962, совместно с М. Ф. Перуцем); Кендрю
Английский врач 14 века; Андерн
Английский географ, путешественник, исследователь Антарктиды; Скотт
Английский государственный деятель. Нобелевская премия мира (1937); Сесил
Английский гроссмейстер; Нанн
Английский гуманист, автор “Утопии”; Мор
Английский естествоиспытатель, путешественник и натуралист, ставший в 1858 г. соавтором Чарлза Дарвина; Уоллес
Английский естествоиспытатель; Сорби
Английский живописец и график (1775–1851); Тернер
Английский изобретатель банкаброша (1769); Аркрайт
Английский изобретатель буквопечатающего телеграфного аппарата; Юз
Английский изобретатель ванилина, заменителя ванили (1858); Гобли
Английский изобретатель теплового двигателя; Уатт
Английский иммунолог, биохимик. Нобелевская премия (1972, совместно с Дж. М. Эдельманом); Портер
Английский композитор и дирижер?; Блисс
Английский ликер на травах; бронте
Английский малоземельный крестьянин; коттер
Английский мореплаватель, изобретатель октанта (18 в.); Хедли
Английский мореплаватель, руководивший пиратскими экспедициями в Вест-Индию; Дрейк
Английский мореплаватель, руководитель кругосветных экспедиций (18 в.); Кук
Английский мореплаватель, фаворит королевы Елизаветы 1; Рэли
Английский мореплаватель; фокс
Английский народный танец; жига
Английский пан; сэр
Английский паразитолог и врач. Нобелевская премия (1902); Росс
Английский патолог. Нобелевская премия (1945, совместно с А. Флемингом и Э. Чейном); Флори
Английский певец Стинг в начале песни “Русские” использовал голос ... ?; Кириллова
Английский писатель (1672–1719); Аддисон
Английский писатель (1857–1924, “Каприз Олмейера”); Конрад
Английский писатель (1903–66, “Пригоршня праха”, “Почетный меч”); Во
Английский писатель Джон Арбетнот создал в начале XVIII в. памфлетный персонаж, имя которого стало нарицательным для английского хитрого и недалекого буржуа. Назовите это имя; Джон Буль
Английский писатель Самуэль Батлер написал роман под странным названием EREWHON. К какому жанру, по утверждению издателей книги, принадлежит этот роман, если W и H модно менять местами?; антиутопия
Английский писатель по имени Джек; Лондон
Английский писатель, “Айвенго”; Скотт
Английский писатель, “Белый вождь”; Рид
Английский писатель, “Всадник без головы”; Рид
Английский писатель, “Джейн Эйр”; Бронте
Английский писатель, “Кандида”; Шоу
Английский писатель, “Оглянись во гневе”; Осборн
Английский писатель, “Пигмалион”; Шоу
Английский писатель, “Портрет Дориана Грея”; Уайльд
Английский писатель, “Робинзон Крузо”; Дефо
Английский писатель, “Цитадель”; Кронин
Английский писатель, автор литературных биографий Диккенса, Уайльда, Шоу; Пирсон
Английский писатель, автор романа “Досье Дж. Бонда”; Эмис
Английский писатель, автор трилогии “Шпага чести”; Во
Английский писатель, имя Конан; Дойл
Английский писатель, имя Майн, “Квартеронка”; Рид
Английский писатель, умерший на острове в Тихом Океане в 1894 году?; Стивенсон
Английский писатель-сатирик, “Путешествие Гулливера”; Свифт
Английский писатель. Написал роман “Оливер Твист”?; Диккенс
Английский писатель. Нобелевская премия (1925); Шоу
Английский писатель Эдвард Бульвер-Литтон считал, что гений делает то, что хочет. А что делает талант: то, ...?; что может
Английский поэт – романтик; Шелли
Английский поэт XVIII в.; Грей
Английский поэт и драматург (“Опера нищих”); российский литературовед; Гей
Английский поэт и драматург (“Опера нищих”); Гей
Английский поэт, автор сборника “Корабль севера”; Ларкин
Английский поэт-романтик (1788–1824); Байрон
Английский поэт; Гуд
Английский профессор математики, написавший строки: “Хливкие шорьки пырялись по наве”?; Кэрролл
Английский психолог Майкл Арчил установил, что на протяжении часового разговора финн использует это 1 раз, итальянец – 80, француз – 120, а мексиканец – 180 раз. Что это?; жестикуляция
Английский психолог; Бэн
Английский путешественник по Африке (1821–93); Бейкер
Английский путешественник, исследовавший истоки Белого Нила; Бейкер
Английский радиоастроном. Нобелевская премия (1974, совместно с Э. Хьюишем); Райл
Английский радиохимик. Нобелевская премия (1921); Содди
Английский реформаторский богослов; Амезиус
Английский утопист; Мор
Английский ученый, открывший намагничивающее действие электрического тока; Араго
Английский фармаколог. Нобелевская премия (1988, совместно с Д. Хитчингсом и Г. Элайон); Блэк
Английский физик (1818–89); Джоуль
Английский физик (1887–1915); Мозли
Английский физик и химик конца XVIII – начала XIX века?; Дальтон
Английский физик и химик, открыл (1861) таллий; Крукс
Английский физик, Нобелевская премия (1922); Астон
Английский физик, Нобелевская премия (1950); Пауэлл
Английский физик, лауреат Нобелевской премии; Борн
Английский физик. Нобелевская премия (1904); Рэлей
Английский физик. Нобелевская премия (1917); Баркла
Английский физик. Нобелевская премия (1933, совместно с Э. Шредингером); Дирак
Английский физик. Нобелевская премия (1947); Эплтон
Английский физик. Нобелевская премия (1977, совместно с Ф. Андерсоном и Дж. Ван Флеком); Мотт
Английский физикохимик. Нобелевская премия (1967, совместно с М. Эйгеном и Портером); Норриш
Английский физикохимик. Нобелевская премия (1967, совместно с М. Эйгеном и Р. Норришем); Портер
Английский физикохимик; Боуэн
Английский физиолог и фармаколог. Нобелевская премия (1936, совместно с О. Леви); Дейл
Английский физиолог. Нобелевская премия (1922); Хилл
Английский физиолог. Нобелевская премия (1932, совместно с Ч. С. Шеррингтоном); Эдриан
Английский физиолог. Нобелевская премия (1963, совместно с Дж. К. Эклсом и А. Л. Ходжкином); Хаксли
Английский физиолог. Нобелевская премия (1970, совместно с Дж. Аксельродом и У. Эйлером); Кац
Английский философ XVIII в., основатель шотландской школы “Здравого смысла”; Рид
Английский философ и естествоиспытатель 13 в.; Бэкон
Английский философ-эмпирик; Бэкон
Английский философ, историк, экономист; Юм
Английский философ-схоласт, логик и церковно-политический писатель?; Оккам
Английский философ; Брэдли
Английский химик и фармаколог. Нобелевская премия (1982, совместно с С. Бергстремом и Б. Самуэльсоном); Вейн
Английский химик, изобретатель современных спичек (1827); Уокер
Английский химик, ин. ч.-корр. Петербургской АН с 1913 г., определил атомную массу радия; Торп
Английский химик, иностр. чл. Петербургск. АН с 1912; Тилден
Английский химик, презид. Лондонск. хим. об-ва 1880–82; Роско
Английский химик, президент Фарадеевского об-ва (1928–30); Лоури
Английский химик-органик (1872–1940); Торп
Английский химик-органик (Нобелевская премия 1969); Бартон
Английский химик-органик. Нобелевская премия (1937); Хоуорс
Английский химик-органик. Нобелевская премия (1969, совместно с О. Хасселем); Бартон
Английский химик; Чатт
Английский хирург, ввел в практику антисептику; Листер
Английский центнер не равен нашему. А чему он равен?; 100 фунтам
Английский экономист и философ. Нобелевская премия (1974, совместно с Г. Мюрдалем); Хайек
Английский экономист. Нобелевская премия (1972); Хикс
Английский экономист. Нобелевская премия (1977, совместно с Б. Улином); Мид
Английский экономист. Нобелевская премия (1984); Стоун
Английский экономист; Пигу
Английское D; ди
Английское Q; кю
Английское V; ви
Английское женское имя; Анжелина
Английское имя; Эд
Английское название хоккея с мячом; бенди
Английское пиво; скол
Англичане это делают, памятуя о дождливом, мы – о черном. Что же делают, вспоминая об этом?; откладывают
Англичанин ... Фарадей создал учение об электромагнитном поле; Майкл
Англичанин Роберт, сформулировавший первое научное определение хим. элемента; Бойль
Англичанин Смит построил винтовой пароход и назвал его в честь человека, которому мы обязаны изобретением винта. Как назывался пароход?; Архимед
Англичанин, впервые выдвинувший идею топливного элемента; Гроув
Англичанин, заложивший основы квантовой электродинамики; Дирак
Англичанин, звезда поп-музыки, выступал на стадионе “Маракана”; Стинг
Англичанин, обладатель 19-сантиметрового носа; Веддер
Англичанин, осовременивший в 1837 г. древнеримскую стенографию; Питман
Англичанин, предложивший абсолютную шкалу температур; Томсон
Англичанин, совершивший три кругосветных плавания; Дампир
Англичанка – “Леди Гамильтон”, “унесенная ветром” на “Мост Ватерлоо”; Вивьен
Англия – в Америке, Гранада – в Колумбии, Одесса – в Николаевской области, Орлеан – в США, Амстердам – тоже, Шотландия в Канаде... Назовите объединяющее их прилагательное; новый
Англия, графство; Девон
Англо-американский поэт. Нобелевская премия (1948); Элиот
Англо-франц. золотая монета английского короля Генриха VI; анжело
Англосаксон. ученый 8 в.; Алкуин
Ангорская шерсть; мохер
Андеграунд для пассажиров?; метро
Андорра – в 2 раза, Лихтенштейн – в 5,8 раза, Сан – Марино – в 14 раз, а Монако – в 1000 раз меньше, а чего?; Москвы
Андропов – Рыбинск, Горький – Нижний Новгород, Фрунзе – Бишкек, Куйбышев – Самара, Калинин – ... Закончите ряд?; Тверь
Анекдот 60-х: “Если победит коммунизм во всем мире, где мы будем ... покупать?” – вставьте пропущенное слово; зерно
Анекдот: “Леонид Ильич принял испанского посла за французского” (мероприятие); прием
Анекдоты сознания; сон
Анисовая настойка или ликер; абсент
Анкер, маятник; часы
Анкилароматический эфир, бесцветная нерастворимая в воде жидкость; анизол
Анклав в ЮАР; Лесото
Анлийский писатель, автор сборника сказок “Счастливый принц”; Уайльд
Анна Курникова, Штеффи Граф, Моника ...; Селеш
Анна, Нюра, Анюта, а еще как можно; Аннушка
Аннулирование, упразднение; отмена
Аномалия преломляющей среды глаза, приводящая к расплывчатости изображения; астигматизм
Аномальная форма черепа в виде башни; акрокефалия
Аномальный рост человека или животного, превышающий норму?; гигантизм
Ансамбль 70-х; ВИА
Ансамбль из 3 исполнителей; трио
Ансамбль из 5 исполнителей; квинтет
Ансамбль из 7 музыкантов; септет
Ансамбль из 8 исполнителей; октет
Ансамбль из 9 музыкантов; нонет
Ансамбль или группа певцов; хор
Ансамбль исполнителей; трио
Ансамбль на троих; трио
Ансамбль нар. танца Узб.; бахор
Ансамбль шведских “Мани”; абба
Ансамбль, исполняющий песню о трех источниках; ялла
Ансамбль, с которым выступала Э. Пьеха; дружба
Антибиотик; ауреомицин
Антибрак; развод
Антигипербола; литота
Антидемократическая система власти; авторитаризм
Антилопа из рода газелей; дзерен
Антилопа с лировидными рогами; сайга
Антилопа; импала
Антиокислительная присадка для смазок и масел; ионол
Антипод блага, добра; зло
Антипод бомонда; сброд
Антипод вампира; донор
Антипод верха; низ
Антипод затылку; лицо
Антипод зенита; надир
Антипод лирика в 60-е годы; физик
Антипод мата; глянец
Антипод перочинного ножичка; тесак
Антипод стратега; тактик
Антипод супермаркета; лавка
Антипод физика в шестидесятых годах; лирик
Антипод человека, режущего правду-матку; лгун
Антипод чувства; разум
Антипригарное покрытие кухонн. посуды; тефлон
Антисептик; иод
Антифрикционный сплав для заливки вкладышей подшипников; баббит
Антич. скульптор; Леохар
Антическое круглое в плане здание для выступления певцов; одеон
Античн. памятник победы из захваченн. оружия; орнам. мотив; трофей
Античн. памятник победы из захваченн. оружия; трофей
Античная ваза; амфора
Античная верхняя одежда др.-римских граждан; тога
Античная доля стиха; мора
Античная одежда; стола
Античная феминистка; амазонка
Античная хозяйка рога изобилия?; Фортуна
Античная чаша для вина; фиал
Античная штурмовая лестница; самбук
Античное круглое здание для выступления певцов; одеон
Античное название Дона; Танаис
Античное одеяние; стола
Античный “жбан”; амфора
Античный город Боспорского государства; Нимфей
Античный город Боспорского царства?; Патраэй
Античный город в устье Днестра; Тирас
Античный город в устье Дона; Танаис
Античный город на Черном море; Истрия
Античный город, погиб при извержении вулкана; Помпеи
Античный качок; атлет
Античный краснобай; ритор
Античный мудрец; Фалес
Античный орнамент из ломанной линии или спирали; меандр
Античный поэт, автор “Илиады”; Гомер
Античный пророк; оракул
Античный сосуд для хранения вина, масла; амфора
Античный ученый, измеривший высоту древнеегипетских пирамид по их тени; Фалес
Античный философ; Зенон
Антон Павлович Чехов однажды заметил, что “умный любит учиться, а дурак ... ”; учить
Антоним “пас” в преферансе; вист
Антоним аверс; реверс
Антоним альтруизм; эгоизм
Антоним анализ; синтез
Антоним антициклон; циклон
Антоним безволие; воля
Антоним бездарь; талант
Антоним безумие; ум
Антоним бессмертие, жизнь, рождение; смерть
Антоним бессмыслица; смысл
Антоним бессонница, явь; сон
Антоним блондин; брюнет
Антоним вверх; вниз
Антоним везде; нигде
Антоним великан; карлик
Антоним верность; измена
Антоним вечер; утро
Антоним вечность; миг
Антоним влево; вправо
Антоним вместе; врозь
Антоним возвышенность?; низменность
Антоним война; мир
Антоним вонь; аромат
Антоним вопрос; ответ
Антоним восток; запад
Антоним восход; закат
Антоним вправо; влево
Антоним враг; друг
Антоним вранье, ложь?; честность
Антоним вред; польза
Антоним врозь; вместе
Антоним глубоко; мелко
Антоним глупо; умно
Антоним глухо; звонко
Антоним день; ночь
Антоним добро; зло
Антоним достоинства; изъян
Антоним друг; враг
Антоним еще; уже
Антоним жара; холод
Антоним женитьба; развод
Антоним завтра; вчера
Антоним зад; перед
Антоним закат; восход
Антоним запад; восток
Антоним земля; небо
Антоним зима; лето
Антоним зло; добро
Антоним качество; брак
Антоним конец; начало
Антоним контратака, отступление; атака
Антоним красавец; урод
Антоним крик; шепот
Антоним лето; зима
Антоним ложь; правда
Антоним мало; много
Антоним мир; война
Антоним много; мало
Антоним можно; нельзя
Антоним назад; вперед
Антоним нападение; защита
Антоним находка; потеря
Антоним начало; конец
Антоним небо; земля
Антоним нигде; везде
Антоним низ?; верх
Антоним низко; высоко
Антоним ночь; день
Антоним острый; тупой
Антоним ответ; вопрос
Антоним отлет; прилет
Антоним отлив; прилив
Антоним отъезд; приезд
Антоним перед; зад
Антоним подъем; спуск
Антоним поздно; рано
Антоним позор; слава
Антоним польза; вред
Антоним помеха; помощь
Антоним помощь; помеха
Антоним поперек; вдоль
Антоним поражения; победа
Антоним пороть; шить
Антоним порядок; бардак
Антоним посадка; взлет
Антоним потомки?; предки
Антоним похвала; ругань
Антоним праздник; будни
Антоним прибыль; убыток
Антоним приезд; отъезд
Антоним приемка; сдача
Антоним прилет; отлет
Антоним прилив; отлив
Антоним приход, доход; расход
Антоним приход; уход
Антоним продажа; купля
Антоним пряника из известной поговорки; кнут
Антоним радость; грусть
Антоним рано; поздно
Антоним расход; доход
Антоним реверс; аверс
Антоним редко; часто
Антоним реципиент; донор
Антоним сверху; снизу
Антоним свет; мрак
Антоним свобода; неволя
Антоним сегодня, вчера; завтра
Антоним серьезно; шутя
Антоним синтез; анализ
Антоним слава; позор
Антоним слезы; смех
Антоним слепота; зрение
Антоним смерть; жизнь
Антоним смех (ответ во мн. ч.); слезы
Антоним снаружи; внутри
Антоним согласие; отказ
Антоним сон; явь
Антоним спасение; гибель
Антоним справа; слева
Антоним спуск; подъем
Антоним старик; юноша
Антоним строгость; ласка
Антоним там; здесь
Антоним темнота; свет
Антоним тыл; фронт
Антоним устью?; исток
Антоним утро; вечер
Антоним уход, расход; приход
Антоним холод; жара
Антоним хорошо; плохо
Антоним храбрец; трус
Антоним циклон; антициклон
Антоним часто; редко
Антоним честность, правда; ложь
Антоним честность; вранье
Антоним чужбина; родина
Антоним шепот; крик
Антоним шершаво; гладко
Антоним штиль; шторм
Антоним эгоизм; альтруизм
Антоним экспорт; импорт
Антоним юноша; старик
Антоновка или гольден; яблоко
Анфас, вид спереди; фас
Апельсиновый ликер; кюрасо
Апельсиновый прохладительный напиток; фанта
Апогей вкуса; смак
Аподитерий, фригидарий, тепидарий, кальдарий, гипокауст, пропнигий. Как мы зовем все это вместе?; термы
Аппарат для выполнения сложных монотонных операций; робот
Аппарат для подводного плавания; акваланг
Аппарат для поддержания пищи в горячем состоянии; мармит
Аппарат для просушивания волос; сушуар
Аппарат для размола в производстве бумаги; ролл
Аппарат для усиления звука; отофон
Аппарат, агрегат; машина
Аппарат, вырабатывающий электрическую энергию?; генератор
Аппарат, на котором отпечатываются талоны с указанием полученной суммы; касса
Аппаратное отчуждение человека от дела; автоматика
