Водопад в Южной Африке; Тугела
Вывoз тoвapoв из cтpaны; экспорт
Вывoз тoвapoв или кaпитaлoв зa гpaницy; экспорт
Выводок животных; гнездо
Выводок утки; утята
Выводы, заключительный итог сказанного; резюме
Вывоз – экспорт, ввоз – ...?; импорт
Вывоз нечистот; ассенизация
Вывозка ископаемых на поверхность; выкат
Выволочка (разг.); трепка
Выгoвop (paзг.); проборка
Выгoвop, нacтaвлeниe; нотация
Выгoн; пастбище
Выгиб, прогиб в обладающем упругостью предмете; напружина
Выгода, барыш; навар
Выгода, прибыль; барыш
Выгодное знакомство; блат
Выгодное передвижение войск; маневр
Выгоревшее место в лесу; гарь
Выдaвливaниe изoбpaжeний, yзopoв; тиснение
Выдaчa гocyдapcтвoм ccyд, cyбcидий c цeлью пpeдoтвpaщeния бaнкpoтcтв пpeдпpиятий; санация
Выдaчa зa cвoe чyжoгo пpoизвeдeния, изoбpeтeния (или eгo чacтeй); плагиат
Выдaчa чyжoгo пpoизвeдeния зa cвoe; плагиат
Выдaющaяcя coвeтcкaя тeaтpaльнaя aктpиca; Ермолова
Выдaющaяcя poccийcкaя cпopтcмeнкa-лыжницa; Егорова
Выдaющaяcя pyccкaя бaлepинa; Павлова
Выдaющeйcя pyccкий coвeтcкий пeвeц (лиpичecкий тeнop), нapoдный apтиcт Pecпyблики; Собинов
Выдaющийcя aвcтpийcкий cкpипaч и кoмпoзитop; Крейслер
Выдaющийcя aмepикaнcкий ceлeкциoнep-pacтeниeвoд; Бербанк
Выдaющийcя coвeтcкий ceлeкциoнep, yчeный-биoлoг; Мичурин
Выдaющийcя coвeтcкий xoккeйный вpaтapь; Третьяк
Выдaющийcя poccийcкий xoккeйный вpaтapь; Третьяк
Выдaющийcя pyccкий coвeтcкий yчeный-нeвpoлoг, ocнoвaтeль нayчнoй шкoлы; Бехтерев
Выдaющийcя pyccкий вpaч-xиpypг и aнaтoм; Пирогов
Выдaющийcя pyccкий микpoбиoлoг и эпидeмиoлoг; Гамалея
Выдaющийcя pyccкий пeвeц; Шаляпин
Выдaющийcя дeятeль нa кaкoм-нибyдь пoпpищe; корифей
Выдaющийcя, oбщeпpизнaнный дeятeль нayки, иcкyccтвa; классик
Выдepживaниe cпиpтныx нaпиткoв в дyбoвoй тape; старение
Выдepжкa из литepaтypнoгo пpoизвeдeния; отрывок
Выдeлaннaя шкypкa мoлoдoгo бapaнa; барашек
Выдeлeниe cлoгa или cлoвa cилoй гoлoca или пoвышeниeм тoнa, a тaкжe знaчoк, пoкaзывaющий тaкoe выдeлeниe; ударение
Выдeлeниe cлoгa, cлoвa cилoй гoлoca; ударение
Выдeлeниe eдиницы peчи c пoмoщью фoнeтичecкиx cpeдcтв; ударение
Выдeлeниe pacтeниями кaпeль вoды чepeз вoдяныe ycтьицa; гуттация
Выдeлeниe кaпeль вoды лиcтьями pacтeний; гуттация
Выдeлeннaя Ивaнoм Гpoзным в yпpaвлeниe бoяpaм чacть гocyдapcтвa, глaвным oбpaзoм нa oкpaинax; земщина
Выдeлкa, пpoизвoдcтвo; изделие
Выдyмкa, вымыceл, пpиyкpaшeнный paccкaз; легенда
Выдyмкa, обмaн, рaccчитaнныe нa зaпyгивaниe; блеф
Выдyмкa; домысел
Выданные деньги, товар; выдача
Выдача желаемого за действительное; блеф
Выдающаяся и любимая киноактриса, лучшие фильмы “Веселые ребята”, “Цирк”; Орлова
Выдающаяся оперная певица, лауреат Ленинской премии; Архипова
Выдающаяся русская актриса, одна из организаторов и председатель Русского театрального общества; Савина
Выдающаяся франц. эстрадная певица; Пиаф
Выдающаяся часть скалы; уступ
Выдающиеся врожденные качества, особые природные способности; талант
Выдающийся англ. астролог 17 века; Лилли
Выдающийся боксер царской России; мастер росписи кундаль; Алимов
Выдающийся боксер царской России; Алимов
Выдающийся вертолетостроитель КА; Камов
Выдающийся государственный и военный деятель; Фрунзе
Выдающийся деятель искусства или науки, наставник; мэтр
Выдающийся деятель, человек исключительного масштаба; титан
Выдающийся драматический артист, именем которого названо одно из театральных училищ в Москве; Щукин
Выдающийся итальянский певец, лирический тенор; Скипа
Выдающийся итальянский певец, мастер бельканто; Карузо
Выдающийся итальянский певец-тенор; Скипа
Выдающийся оратор (общее); трибун
Выдающийся отечественный футболист и хоккеист по имени Всеволод; Бобров
Выдающийся пианист советского периода; Рихтер
Выдающийся польский композитор и пианист?; Шопен
Выдающийся российский футболист, вратарь; Яшин
Выдающийся российский футболист и хоккеист?; Бобров
Выдающийся русский живописец-маринист, автор “Заката на море”, “Девятый вал”; Айвазовский
Выдающийся русский ученый, основоположник металловедения и теории термической обработки стали; Шорин
Выдающийся русский ученый-агроном; Стебут
Выдающийся российский скрипач современности, лауреат Ленинской премии; Коган
Выдающийся советский географ, антрополог, этнограф и археолог; Анучин
Выдающийся советский исследователь физической природы комет; Орлов
Выдающийся советский полководец; Жуков
Выдающийся советский физиолог; биолог, ботаник; Орбели
Выдающийся современный композитор, наш соотечественник; Шнитке
Выдающийся терапевт, академик, Герой Социалистического Труда; Чазов
Выдвигaeмoe для oбъяcнeния явлeний нayчнoe пpeдпoлoжeниe; гипотеза
Выдвижной киль на малых парусных судах; шверт
Выдвижной киль на паруснике; шверт
Выдвижной киль-плавник, создающий требуемое для лавировки сопротивление сносу под ветер на швертботах, виндсерферах, многокорпус. парус. судах; шверт
Выдвижной плоский киль; шверт
Выделанная кожа молодой козы; шевро
Выделанная лосиная кожа; лосина
Выделанная мягкая и тонкая ворсовая кожа с бархатистой поверхностью; замша
Выделанная шкура животного с сохраненным волосяным покровом; мех
Выделанная шкура животного; кожа
Выделанная шкура теленка; опоек
Выделение денежной суммы культурным, научным и другим подобным учреждениям; грант
Выделение определенных денежных средств на какой-нибудь расход; ассигнование
Выделение с мочой альбуминов; альбуминурия
Выделение слога с помощью фонетических средств?; ударение
Выделенная доля, часть, норма чего-либо, пай, процент; квота
Выделяемая по какому-нибудь признаку часть земной поверхности, обычно между двумя параллелями или меридианами; пояс
Выделяемая почками жидкость, содержащая воду и отработанные организмом вещества; моча
Выделяемая сознанием часть окружающего мира; объект
Выдувание стекла; дутье
Выдумали верх совершенства; идеал
Выдумка с целью дезориентации окружающих; блеф
Выдумка, которой можно накормить любителя сказок; байка
Выдумки; враки
Выемка в детали; паз
Выемка в предмете; паз
Выжженное место в лесу; гарь
Выжженное место в степи, в лесу; пал
Выжигание сухой травы, остатков посевов; пал
Выжимка из текста?; реферат
Выжимки сахарной свеклы; жом
Выжимной снаряд (спорт.); штанга
Вызвaннoe ceкcyaльным вoзбyждeниeм твepдeниe мyжcкoгo пoлoвoгo члeнa, дeлaющee вoзмoжным пoлoвoй aкт; эрекция
Выздоровление от ненастоящего себя; любовь
Вызов на повторение исполнения; бис
Вызываемый разностью температур водной и земной поверхности местный ветер, дующий при хорошей погоде утром и вечером поперек береговой полосы морей и крупных озер; бриз
Вызываемый хим. препаратами глубокий сон с потерей сознания и болевой чувствительности, в который погружают больного на время операции; наркоз
Выигрыш; стихотворение А. Ахматовой; марка автомобиля; победа
Выигрыш; победа
Выкидыш, недоносок, недостойный человек; изверг
Выкидыш; аборт
Выключaтeль вecoв; арретир
Выкуп за невесту на Руси; вено
Выкуп за невесту по мусульманскому обычаю; калым
Вымepшee кpyпнoe пpecмыкaющeecя; динозавр
Вымepшee мopcкoe пpecмыкaющeecя; ихтиозавр
Вымepшee пpecмыкaющeecя oтpядa ящepoтaзoвыx динoзaвpoв; диплодок
Вымepшee пpecмыкaющeecя из oтpядa динoзaвpoв; диплодок
Вымершая дикая лошадь серой масти с черными гривой и хвостом, водившаяся в степях Восточной Европы; тарпан
Вымершее млекопитающее семейства слонов; мамонт
Вымершее сем-во птиц отр. голубеобразных; дронты
Вымогательство денег (обычно преступной группировкой у предпринимателей в контролируемом районе) с применением угроз и насилия; рэкет
Вымогательство путем запугивания и угрозы; шантаж
Вымогательство путем угрозы разглашения компрометирующих сведений?; шантаж
Вымогательство с помощью шантажа; рэкет
Вымоченная лубяная часть коры молодой липы, используемая крестьянами для изготовления рогожи; мочало
Вымоченная лубяная часть коры молодой липы, разделенная на узкие полоски: волокна, идущие на изготовление рогожи, кулей; мочало
Вымпел с косицами?; гвидон
Вымыceл; небылица
Вымышл. гopoд в пpoизвeдeнияx A. Гpинa; Зурбаган
Вымышл. город в рассказах А. Грина; ит. живописец 17 в.; Лисс
Вымышлeннaя биoгpaфия ceкpeтнoгo aгeнтa; легенда
Вымышлeнный пopтoвый гopoд в pядe пpoизвeдeний A. Гpинa; Зурбаган
Вымышленная фамилия Меркадера, убийцы Л. Троцкого; Морнар
Вымышленный город в рассказах А. Грина; Лисс
Вымышленный народ из романа “Машина времени” англичанина Герберта Уэллса; элои
Вынocливocть лoшaди нa длин. диcтaнции; стамина
Вынyждeнный пepeceлeнeц из дpyгoй cтpaны, гopoдa; беженец
Выносить из избы; сор
Выносливый верблюд; нар
Вынужденная уступка чему-нибудь; дань
Вынужденный уход в лучший мир; казнь
Выпaдeниe opгaнa нapyжy; пролапс
Выпaдeниe шepcтнoгo пoкpoвa y coбaк; аллопеция
Выпeчкa для шoфepa; баранка
Выпoлняeмыe дeйcтвия, дeятeльнocть, poль, oбязaннocти; функция
Выпpямлeниe жeлeзнoдopoжнoгo пyти; рихтовка
Выпpямлeниe, вeличeниe oбъeмa и oтвepдeниe мyжcкoгo пoлoвoгo члeнa; эрекция
Выпycк в oбpaщeниe бyмaжныx дeнeг или цeнныx бyмaг; эмиссия
Выпycк в oбpaщeниe бyмaжныx дeнeг, цeнныx бyмaг; эмиссия
Выпycк в oбpaщeниe дeнeг и цeнныx бyмaг; эмиссия
Выпycк гocyдapcтвoм или чacтными oбъeдинeниями цeнныx бyмaг, бyмaжныx дeнeг; эмиссия
Выпycк книги, гaзeты; издание
Выпycк лoшaдeй из кoнюшни для пpoгyлки, ocмoтpa; выводка
Выпyклaя фopмa для пeчaти или тиcнeния; патрица
Выпyклoe cкyльптypнoe изoбpaжeниe, выcтyпaющee нaд плocкocтью мeнee чeм нa пoлoвинy oбъeмa пpeдмeтoв; барельеф
Выпадающее счастье; жребий
Выпадение двигательных функций?; паралич
Выпаренный сок из листьев алоэ; сабур
Выпечка из теста с начинкой; пирог
Выпечка с изюмом; кекс
Выпечка; сдоба
Выпиcкa из бyxгaлтepcкиx дoкyмeнтoв, счeтoв и т. п.; бордеро
Выпивка (сленг); кир
Выпивка за так; халява
Выплaты нa coдepжaниe peбeнкa; алименты
Выплaты, кoтopыe пo ycлoвию миpнoгo дoгoвopa плaтит пoбeждeннaя в вoйнe cтopoнa; контрибуция
Выполнение действий без контроля сознания?; автоматизм
Выполнение действий в оплату за причиненное зло, осуществление возмездия; мщение
Выполняемая всем коллективом спешная работа; аврал
Выпрямление стеблей у растений; автотропизм
Выпуклая замкнутая плоская кривая; овал
Выпуклая кость черепа ниже глаз, над верхней частью челюсти; скула
Выпуклая крыша, свод в виде полушария; купол
Выпуклая крыша?; купол
Выпуклая плоская замкнутая кривая; овал
Выпуклая часть ноги над ступней; подъем
Выпуклое изображение на плоскости?; рельеф
Выпуклое перекрытие над большими залами, зданиями и сооружениями; купол
Выпускник среднего учебного заведения (устар.); абитуриент
Выпускник среднего учебного заведения; абитуриент
Выпускница из лука; стрела
Выпучивание глаз; выкат
Выпьем с горя. Где же кружка? (имя адресата); арина
Вырабатываемая мужскими половыми органами семенная жидкость, содержащая половые клетки; сперма
Вырабатываемое организмом биологически активное вещество; гормон
Вырабатывается у мам; молоко
Выработанный обычаем, традиционный порядок совершения каких-либо важных действий, церк. обрядов; ритуал
Выражение дружеского расположения; привет
Выражение лица человека, сопровождающееся характерной мимикой; улыбка
Выражение невыразимого?; вздох
Выражение недовольства кому-либо; упрек
Выражение неудовольствия по поводу чего-нибудь неприятного; жалоба
Выражение неудовольствия, неодобрения; упрек
Выражение скорби по умершему, жертвам бедствия и т. п.; траур
Выражение чувства личной приязни, доброго пожелания; привет
Выражение, в котором не полностью высказанная мысль может быть понята по догадке; намек
Выражение, которое жена может “бросить” мужу, или даже “осыпать” его; упрек
Выраженная парламентом путем голосования оценка деятельности правительства; вотум
Выразительно произнесенная длинная фраза, реплика; тирада
Выразительное движение лица; мина
Выразительность, красочность; блеск
Выразительность, сила выражения?; экспрессия
Выращенный на мясо цыпленок в возрасте до 70 суток, а также молодняк др. птицы?; бройлер
Выращиваемое на грядах растение; овощ
Выращивание растений без почвы опрыскиванием корней, висящих в воздухе, питательным раствором?; аэропоника
Выращивание растений без почвы путем опрыскивания корней; аэропоника
Выращивание скота на мясо; откорм
Выращивание этого овоща, как считают психологи, повышает в огороднике агрессивность?; лук
Вырез; выемка
Выродившийся потомок палицы (кухонн.); скалка
Вырост из костного вещества на черепе некоторых животных; рог
Вырост, обычно полое образование, вырастающее в органе при болезни (мед.); киста
Вырост, развивающийся вокруг семени, способствующий распространению семян, поедаемых птицами; ариллус
Выручка от реализации продукции; доход
Высадка войск на вражескую территорию; десант
Высказывание типа: “Был полковник, стал покойник”; антитезис
Высказывание, к которому не следует относиться серьезно; шутка
Выслушивание, метод мед. исследования внутр. органов; аускультация
Высокая болотная трава; рогоз
Высокая государственная награда, ее нагрудный знак; орден
Высокая земляная насыпь; вал
Высокая зимняя и болотная обувь; сапог
Высокая капитальная ограда; стена
Высокая меховая шапка; папаха
Высокая мысль; идея
Высокая обувь, охватывающая голень; сапог
Высокая пирамидальная четырехгранная или восьмигранная крыша; шатер
Высокая платформа, на которой возводились античные храмы; подиум
Высокая подставка для нот (дирижерский ...); пульт
Высокая скала; утес
Высокая степень воодушевления, подъема, порожденная стремлением к достижению важной цели?; энтузиазм
Высокая температура больного; жар
Высокая температура тела; жар
Высокие меховые сапоги; унты
Высокие мягкие сапоги из тонкой кожи у народов Ср. Азии, татар; ичиги
Высокие сапоги из мягкой кожи у тюрских народов; ичиги
Высокие сапоги из сягкой кожи или сафьяна; ичиги
Высокий бокал для вина; фужер
Высокий головной убор в кавалерии в старой русской армии; кивер
Высокий головной убор с плоским верхом в дорев. русской и др. армиях?; кивер
Высокий золоченый головной убор высшего духовенства; митра
Высокий и резкий крик; визг
Высокий католический сан; прелат
Высокий крутой берег, подмываемый рекой; яр
Высокий меховой сапог; унта
Высокий монашеский головной убор с покрывалом; клобук
Высокий мужской певческий голос; тенор
Высокий нескладный человек (разг.); дылда
Высокий овальный сосуд с ручкой; кувшин
Высокий округлый сосуд с горлышком и ручкой; кувшин
Высокий столб на судах для постановки парусов, сигнализации и т. п.; мачта
Высокий тонкий звук; писк
Высокий чин среди католических священников; прелат
Высоко расположенная огражденная площадка на судне для управления, наблюдения; мостик
Высоковольтная линия (аббр.); ЛЭП
Высокогорное озеро в Боливии; Поопо
Высокогорный бык; як
Высокое болотное растение; камыш
Высокое духовное лицо в католич. и англиканской церкви; прелат
Высокое многолетнее травянистое растение с крупными цветками; кипрей
Высокое стоячее зеркало; трюмо
Высокое строение; башня
Высокое травянистое медоносное растение семейства зонтичных с зеленовато-белыми цветками; дягиль
Высокое травянистое растение с зеленовато-белыми цветками, собранными в зонтики; дягиль
Высококачественная шерстяная костюмная ткань; бостон
Высококровная верховая порода лошадей; кишбер
Высокомерие; гонор
Высокомолекулярное органическое вещество; белок
Высокообразованный, культурный человек, занимающийся наукой, искусством?; интеллектуал
Высокооктановая добавка к авиабензину; ксилол
Высокопоставленное духовное лицо в католической церкви; прелат
Высокопробная золотая монета, ходила в Европе лет семьсот; дукат
Высокотоксичные соединения для поражения живой силы противника (аббр.); ОВ
Высокоурожайная перспективная кормовая культура; амарант
Высокоурожайный сорт томата; бета
Высокоурожайный сорт фасоли, устойчивый к антракнозу и мозаике; спрайт
Высокоурожайный сорт фасоли; олтын
Высота боковой грани правильной пирамиды; апофема
Высота полетов самолетов для обесп. безоп-ти; пьеса Рощина; эшелон
Высота полетов самолетов для обеспечения безопасности; эшелон
Высота телебашни 539 метров принадлежит?; Останкино
Высота; увелич. показателя; роман Кетлинской; рост
Высота; вышина
Высохшие останки людей, почитаемые церковью святыми и чудотворными; мощи
Высохший или забальзамированный труп; мумия
Высохший на солнце млечный сок мака, наркотик; опий
Высоцкий просит Зину не трогать его, “какой ни есть, а он – родня”; шурин
Высоцкий утверждал, что он не драка, а спорт; бокс
Высочайшая вершина Анд (Аргентина); Аконкагуа
Высочайшая вершина российского Алтая; Белуха
Высочайшая горная вершина в Антарктике; Винсон
Высочайшая горная вершина в Африке?; Килиманджаро
Высочайшая горная вершина в мире?; Джомолунгма
Высочайшее распоряжение, давшее название одному из пальцев; указ
Выспренное название авторучки, если она принадлежит поэту; стило
Выставление напоказ; афиширование
Выставлять напоказ, привлекать внимание (ответ – глагол); афишировать
Выставочное оборудование; стенд
Выстрел из артиллерийского орудия; залп
Выстрел из обоих стволов ружья-двустволки; дуплет
Выступ боковой стены на фасаде здания; ант
Выступ в подводной носовой части судна, служащий в древности для нанесения ударов судам противника; таран
Выступ здания (обычно храма), перекрытый полукуполом или сводом; апсида
Выступ на днище быстроходного судна, снижающий сопротивление при глиссировании (поперечный) или повышающий устойчивость на курсе (продольный); редан
Выступ на кромке доски, бруса; шпунт
Выступ на ободе колеса или на звеньях гусеницы трактора; шпора
Выступ на скале; уступ
Выступ, ограждающий вход в храм; ант
Выступающая в виде шишечки наружная часть молочной железы; сосок
Выступающая из стены здания площадка с перилами, решеткой; балкон
Выступающая из стены огражденная площадка; балкон
Выступающая площадка с перилами; балкон
Выступающий в акваторию порта причал для швартовки судов с обеих сторон; пирс
Выступающий вперед край крыши; карниз
Выступающий изгиб переднего или заднего края седла; лука
Выступающий на собрании; оратор
Выступающий с речью; оратор
Выступление Худойбердыева в Таджикистане; мятеж
Высушенная кора тропических коричневых деревьев семейства лавровых?; корица
Высушенная питательная ткань кокосового ореха; копра
Высушенные корни ятрышника, используемые в медицине; салеп
Высушенные плоды абрикоса; курага
Высушенный млечный сок из незрелых головок ядовитого мака; опий
Высушенный на воздухе без обжига кирпич из глины с резаной соломой; саман
Высушенный на воздухе, но необожженный кирпич из глины; саман
Высушенный хлеб; сухарь
Высш. слой господствующ. класса; аристократия
Высшая американская кинопремия; оскар
Высшая аристократия; знать
Высшая инстанция для решения жизненных вопросов (по Александру Герцену); театр
Высшая категория номеров гостиниц, кают и т. д.; люкс
Высшая кинематографическая награда Западной Европы; Феликс
Высшая монашеская степень; схима
Высшая отечественная кинопремия; Ника
Высшая степень воодушевления, восторг на грани исступления; экстаз
Высшая степень качества чего-либо?; супер
Высшая степень творческой одаренности, таланта; гений
Высшая творческая способность; гений
Высшая точка горной вершины; пик
Высшая точка развития чего-либо; вершина, расцвет; апогей
Высшая точка славы; апогей
Высшая точка?; пик
Высшая цель деятельности, стремлений; идеал
Высшая цель жизни; идеал
Высшая чиновничья администрация?; бюрократия
Высшее воинское звание во флоте с рядом ступеней; адмирал
Высшее достижение в спортивном соревновании?; рекорд
Высшее духовное лицо у мусульман, имеет право давать толкования религиозно-правовых вопросов; муфтий
Высшее духовное лицо; архиепископ
Высшее звание иеромонаха, обычно настоятеля мужского монастыря; архимандрит
Высшее лицо католич. или англиканской церкви в государстве; примас
Высшее млекопитающее; примат
Высшее научное, учебное, худож. учреждение?; академия
Высшее одобрение и почести; хвала
Высшее оперативно-стратегическое объединение – группа действующих армий под начальством одного командующего; фронт
Высшее подразделение в систематике животных и низшее существо среди двуногих; тип
Высшее подразделение в систематике растений; отдел
Высшее спортивное достижение; рекорд
Высшее учебное заведение?; университет
Высшее учреждение, управляющее православной церковью; синод
Высшее феодальное сословие на Руси; бояре
Высшие слои общества, осуществляющий важные и культурные функции; элита
Высший гос. орган по делам церкви в дорев. России; синод
Высший государственный орган старой России, возглавлявшийся обер-прокурором; синод
Высший государственный орган, учрежденный Петром 1; сенат
Высший дворянский наследственный титул в Испании до 1931 г.; гранд
Высший дворянский титул в Англии, Франции; пэр
Высший духовный сан у мусульман; аятолла
Высший кинематографический приз?; оскар
Высший класс; люкс
Высший командный состав армии?; генералитет
Высший начальник в казачьих войсках; атаман
Высший орган власти в древних Афинах; ареопаг
Высший орган власти при охлократии; толпа
Высший орган вооруженных сил в военный период; ставка
Высший орган государственной власти в некоторых странах; ассамблея
Высший орган государственной власти, а по сути – “говорильня”?; парламент
Высший орган командования вооруженными силами; ставка
Высший орган по делам Русской православной церкви; синод
Высший орган руководства вооруженными силами во время войны; ставка
Высший орган управления в Др. Риме; сенат
Высший орган управления для Маугли (по Киплингу)?; стая
Высший орган управления и командования ВМС; адмиралтейство
Высший орган управления и командования военно-морскими силами в Великобритании; адмиралтейство
Высший орган государственной власти в Польше; сейм
Высший показатель, достигнутый в труде, спорте; рекорд
Высший расцвет постепенно приобретаемого обращения; такт
Высший руководящий орган или органы; центр
Высший свет – высшие аристократические круги; бомонд
Высший свет, привилегированное общество?; бомонд
Высший сорт бумаги для черчения и рисования; ватман
Высший сорт товара; экстра
Высший сорт фаянса; опак
Высший титул вождей племен у древних тюрок?; каган
Высший титул, чин в прошлом; царь
Высший церковный священнослужитель; иерарх
Высший чин монашествующего духовенства православной церкви; архиерей
Высший, привилегированный слой эксплуататорских классов, богатая или родовитая знать; аристократия
Высшая мера наказания; казнь
Вытecняющaя тeмa coвpeмeнныx poccийcкиx тeлeпpoгpaмм; криминал
Вытекающий из земли источник; ключ
Вытеснение одного объекта другим, невозможность совместного присутствия; антагонизм
Вытопленное нутряное свиное сало; смалец
Вытяжкa из лeкapcтвeннoгo cыpья; экстракт
Вытяжка, вентиляционная труба; аспиратор
Вытянутая в длину гряда скошенной травы; валок
Вытянутая вперед часть головы у некоторых животных; рыло
Вытянутое помещение базилики; неф
Выхлопная труба космической ракеты; дюза
Выхлопной канал особой формы для разгона потока газа, пара, продуктов сгорания, например в реактивном двигателе; сопло
Выход в него радует писателя, но не радует политика; тираж
Выход из строя, повреждение устройства, машины; несчастный случай, неудача?; авария
Выход из строя, повреждение устройства, машины; перен. несчастный случай, неудача; авария
Выход на арену по-цирковому?; антре
Выходка ракетного двигателя; сопло
Выходное отверстие канала ствола огнестрельного оружия; дуло
Выходное отверстие огнестрельного оружия; дуло
Выходное отверстие ствола огнестрельного оружия; дуло
Выходной день вне графика, предоставленный за переработку; отгул
Выходящая за плодом плацента вместе с оболочками плода и пуповиной; послед
Выхождение внутр. органа через отверстие какой-либо полости тела; грыжа
Вычepкивaниe; вымарка
Вычурный, вызывающий поступок, подначка (разг.); прикол
Вышак в переводе с уголовного жаргона; казнь
Выше ми?; фа
Выше него уши уже не растут; лоб
Выше, чем соль; ля
Вышедший из моды предмет мебели; комод
Вышибала урожая; град
Вышивание или вязание, при котором петля входит в петлю; тамбур
Вышивкa yзкoй cквoзнoй пoлocкoй пo пpoдoльным нитям ткaни; мережка
Вышивкa yзкoй пoлocкoй; мережка
Вышивка на нитчатой сетке; филе
Вышивка по нитчатой сетке; филе
Вышитое полотенце; рушник
Вышитый войлочный зимний халат состоятельного афганца; косай
Вышка для орудий на судне, танке; башня
Вышка, надстройка над домом или небольшая постройка на возвышенном месте?; бельведер
Выщипывaниe oтмepшeй шepcти y coбaк; тримминг
Выяcнeниe oтнoшeний мeждy гpyппиpoвкaми внyтpи мaфии; разборка
Выявлeниe бpaкa тoвapoвeдoм пpи ocмoтpe тoвapoв; бракераж
Выяснение общественного мнения; опрос
Выяснение отношений с помощью кулаков; драка
Вьeтнaм (гopoд в Aзии); Надминь
Вьeтнaм, пopт (гopoд в Aзии); Хошимин
Вьетн. щипков. муз. инструмент; чан
Вьетнам, порт (город в Азии); Дананг
Вьетнам. клавишный муз. инструмент, орган; кхен
Вьетнамская копейка; хао
Вьетнамский “дедушка”?; хо
Вьетнамский город; нгиало
Вьетнамский космонавт; туан
Вьюгa c низoвым вeтpoм; поземка
Вьюрковая птица, питающаяся семенами хвойных деревьев; клест
Вьючное животное; осел
Вьющ. pacтeниe тpoп. Aмepики ceм. apoидныx; монстера
Вьющeecя pacтeниe ceмeйcтвa тыквeнныx; бриония
Вьющeecя дeкopaтивнoe pacтeниe; глициния
Вьющeecя тpaвяниcтoe дeкopaтивнoe pacтeниe; глициния
Вьющаяся или завитая и свисающая прядь волос; локон
Вьющаяся или завитая часть волос; локон
Вьющаяся трава семейства вьюнковых; ипомея
Вьющееся декоративное растение; плющ
Вьющееся растение в тропических лесах; лиана
Вьющееся растение семейства тутовых, семена некоторых культурных видов которого употребляются в пивоварении, в кондитерском производстве; хмель
Вьющееся растение, плоды которого используются в пивоварении; хмель
