Негодная вещь, вещи; шваль
Низкий вечнозел. кустарник с розовыми цветами; вереск
Низкий водораздел; волок
Низкий женский голос?; контральто
Низкий мужской голос; бас
Низкий уровень воды в реке, озере; межень
Низкий широкий диван; софа
Низкое и широкое деревянное или металлическое ведерко с двумя ручками по бокам; шайка
Низкое место, заливаемое во время половодья; пойма
Низкорослая, декоративная форма “кавказской пальмы”; букс
Низкорослые люди из племен тропич. Африки; пигмеи
Низменное место (прост.); низина
Низменность в устьевой части реки образованная речными наносами?; дельта
Низшая разновидность долга; обряд
Низшая сельская административно-территориальная единица в Польше; гмина
Низшая церковно-административная единица; приход
Низшее водное позвоночное животное со змеевидным телом; минога
Низшее из 4 древнеиндийских сословий, в основном неполноправные земледельцы и ремесленники; шудры
Низшее лесное божество в др.-греч. мифологии; сатир
Низшее растение, состоящее из гриба и водоросли, растущее на почве, на камнях, на коре деревьев; лишай
Один из тех, которых до середины XX века относили к низшим растениям, а позднее выделили им целое царство; гриб
Низшее сословие древнего Рима; плебс
Низшие первичноводные животные; анамнии
Низшие первичноводные позвоночные животные; анамнии
Низший споровый организм, обожающий потеющие ноги; грибок
Никак, ни под каким видом (устар.); отнюдь
Никакого не сделал открытия, но оно, несомненно, за мной, о чем это? (аббревиат.); нии
Никогда не паханная, а также много лет не подвергавшаяся обработке земля; целина
Николай Иванович, разработавший проект летательного аппарата, находясь в тюрьме за покушение на императора Александра 2?; кибальчич
Николай-II Александру-II; внук
Никто не стукнет, не притрет не жалуйся, Желаешь двигаться вперед – пожалуйста. – объект, о котором поет В. Высоцкий; колея
Никчемная, ненужная вещь, затея (жарг.); фуфло
Нимб, ореол; сияние
Наименование универсального клея; момент
Нимфа, влюбленная в Нарцисса до потери голоса?; Эхо
Нимфа, вскормившая Зевса; Адрастея
Нимфа, попавшая на шедевр от Пабло Пикассо; Дриада
Нимфа, превращенная в лавровое дерево; Дафна
Нимфа, превращенная речным богом в дерево, листья с которого идут нам в суп; Дафна
Нимфа-коза, вскормившая своим молоком новорожденного Зевса; Амальтея
Ниндзя из мультсериала (животное)?; черепашка
Ниспосланный Богом спаситель в христианстве; мессия
Нитевидные образования на листьях и стеблях растений; усики
Нитевидный отросток на листе или стебле; усик
Нити, идущие вдоль ткани; основа
Нити, изготавливаемые из выделений гусеницы; шелк
Нити, полученные прядением; пряжа
Нити, полученные скручиванием волокон; пряжа
Нитки для вышивания; ирис
Нитки, смотанные шариком; клубок
Нитрат серебра; персонаж романа “12 стульев”; ляпис
Нитрат серебра; ляпис
Нить в виде узкой блестящей пленки; люрекс
Нить для перевязывания кровеносных сосудов?; лигатура
Нить из тонких кишок мелкого рогатого скота, употребляемая для наложения швов при операциях; кетгут
Нить лампы; накал
Нить, прикрепляемая к удилищу; леса
Нимфа, которую преследовал влюбленный Аполлон; Дафна
Ничто не вечно; тлен
Ничтожно малая величина?; гран
Ничтожное обстоятельство, пустяк; мелочь
Ничтожное, мелкое обстоятельство; пустяк
Ничтожный человек (разг.)?; гнида
Ничья в шахматах; пат
Ничья от безысходности; пат
Ниша на фасаде здания, открытая с одной стороны; лоджия
Ниша на фасаде здания; лоджия
Нищенствующий мусульманский монах, член суфийского ордена; дервиш
Нищий?; босяк
Нужна оратору; дикция
Нобелевск. лауреат, открыл капиллярн. кровообращение; Крог
Нобелевский лауреат 1962 года из “наших”; Ландау
Нобелевский лауреат, назвавший “Братьев Карамазовых” классической “мыльной оперой”; Маркес
Новатор-чаевод в Грузии; Рогава
Новая Каледония (франц.) (столица, центр); Нумеа
Новая вещь; обнова
Новая вывеска ГАИ; ГИБДД
Новая столица Ингушетии; Магас
Новая столица Нигерии; Абуджа
Новая экономическая политика; нэп
Новгородский средневековый скульптор; Аврам
Новейший ... , чести бог, Готовый вновь предаться узам, Чтоб каждый вечер у Вери В долг осушать бутылки три. (А. Пушкин, “Евгений Онегин”); Регул
Новелла Ги де Мопассана; орля
Новелла Мопассана; коко
Новелла С. Цвейга; страх
Новелла Стивенсона; олалла
Новелла фр. писателя Ж. П. Сартра; интим
Новелла франц. писателя Проспера Мериме; локис
Новеллы С. Цвейга – “...”, “Письмо незнакомки”, “Улица в лунном свете”; амок
Новичок в чем-либо; неофит
Новогоднее дерево на Руси; елка
Новогодний праздник у тувинцев; шагаа
Новогодний талисман китайцев; уголь
Новогодняя цепь?; гирлянда
Новое – это хорошо забытое старое. Что, удовлетворяющее этому принципу, объединяет Нерона и Н. С. Хрущева?; дешевые пятиэтажные дома
Новое русло или рукав, прорытый рекой; прорва
Новоеврейский язык, по преимуществу евреев, живущих в Европе, а также в Америке и Южной Африке; идиш
Новозеландская птица; кагу
Новорожденный некоторых видов тюленей; белек
Новосибирская обл. (город); Чулым
Новосибирская обл., на р. Бердь (город); Бердск
Новосибирская поилица; Обь
Новость дня от РТР; весть
Новые, кленовые, решетчатые; сени
Новый “подводный” голливудский фильм в жанре фантастики; сфера
Новый год; елка
Новый инертный газ; неон
Новый каменный век; неолит
Новый последователь какой-нибудь религии; неофит
Новый приверженец какой-либо религии; неофит
Новый русский по деньгам?; толстосум
Новый сторонник какой-либо идеи, движения, религ. учения; неофит
Новый сторонник общественного движения; неофит
Новый шведский способ построения семьи из двух и более пар; свинг
Новый экипаж гоголевского дьяка диканьской церкви Фомы Григорьевича, на котором он “понаведался-таки в подвал”, потому что “дороги по хуторам нашим не так гладки, как перед вашими хоромами”?; таратайка
Ноги самолета; шасси
Ноготь зверя или птицы; коготь
Нож для уборки сахарного тростника; мачете
Нож с толстым коротким лезвием; финка
Нож у народов Филиппин; боло
Нож, применяемый в машинах глубокой печати; ракель
Нож-карьерист; тесак
Ножевой след?; порез
Ножки в речке купаются, ручки в воде плескаются, косы с плеч спускаются, сережки висят, качаются; ива
Ножнички для древесного “маникюра”?; секатор
Ножной рычаг в машинах; педаль
Ножной рычаг в некоторых муз. инструментах; педаль
Ножной рычаг на многих видах транспорта; педаль
Ноль на рулетке; зеро
Ном в Греции; Янина
Номер дня; дата
Нонпарель, курсив, антика (обобщающие понятия)?; шрифт
Норберт Винер дал определение профессора как человека, который может говорить на какую угодно тему, но при этом всегда соблюдает некое условие-ограничение. Что же это за условие?; не больше часа
Норв. архитектор; Риннан
Норв. композитор; Булль
Норв. математик; Абель
Норв. писатель; Асбьернсен
Норв. драматург (драма-поэма “Пер Гюнт”, драма “Враг народа”); Ибсен
Норвегия (город в Европе); Гамвик
Норвегия, адм. ц. фюльке Эуст-Агдер (город в Европе); Арендал
Норвегия, порт (город в Европе); Тромсе
Норвегия, порт у Бю-фьорда, административный центр фюльке Хордаланн (город в Европе); Берген
Норвежск. фигуристка, снявшаяся в “Серенаде Солнечн. долины”; Хени
Норвежская писательница, автор романа “Кристин, дочь Лавранса”; Унсет
Норвежская писательница, нобелевский лауреат; Унсет
Норвежская писательница. Нобелевская премия (1928); унсет
Норвежский исследователь Арктики. Нобелевская премия Мира (1922); Нансен
Норвежский историк 19 в.; Сарс
Норвежский композитор, сюита “Пер Гюнт”; Григ
Норвежский математик; Абель
Норвежский писатель, лауреат Нобелевской премии по литературе; Гамсун
Норвежский писатель. Нобелевская премия (1920); Гамсун
Норвежский ученый, лауреат Нобелевской премии по экономике; Фриш
Норвежский физикохимик и минералог 19 в.; Вааге
Норвежский центральный защитник Реал Сосьедада?; Кварме
Норвежский экономист. Нобелевская премия (1969); Фриш
Норвежский, язык Европы; нюнорс
Норвежское научно-исследовательское судно, построенное для гидробиологических и ихтиологических исследований в Атлантическом океане; Сарс
Норвежское полярное судно; фрам
Нордическая собачья профессия; каюр
Норма взимания налога, оплаты; ставка
Норма, ограничение; лимит
Нормандский о-в; Джерси
Норманны по-старорусски (ответ во мн. ч.); варяги
Нормативный акт главы государства; указ
Нормативный акт, изданный главой государства или правительства; декрет
Нормой для Сципиона Африканского был порядок. А что злом?; мятеж
Нормы и правила поведения мусульман; шариат
Нормы и принципы поведения и общения людей; мораль
Народ Банту; тонга
Нос корабля на колонне; ростра
Нос корабля, в Др. Риме оратор. трибуна с носом троф. корабля; ростра
Нос слона; хобот
Нос таракана; усик
Носильщик в некотоpых стpанах Азии; кули
Носильщики груза в альпинистских экспедициях в Гималаях, нанятые из привычных к высокогорью местных жителей; шерпы
Носимый магазин; лоток
Носители наследственности; гены
Носитель горящей шапки; вор
Носки с манией величия; гольфы
Носовая надстройка судна; бак
Носовая часть судна (древн.); ростра
Носовое отверстие; ноздря
Носок под лапоть; онуча
Носорог среди тропических птиц; калао
Нота ut (музыка); до
Нота, расположенная на нижней линии нотоносца в скрипичном ключе; ми
Нота; марка вертолетов (ОКБ имени М. Л. Миля); семейство японских ракет-носителей; ми
Нота; ля
Нотная запись многоголосного музыкального произведения?; партитура
Нотный знак, отменяющий диез или бемоль; бекар
Нотный знак, требующий повышения звука на полутон; диез
Нотный знак; бекар
Ноты, сообразившие на троих?; аккорд
Ночная бабочка (песен.); путана
Ночная болотная птица семейства цапель; выпь
Ночная мышеловка; сова
Ночная одежда; пижама
Ночная песня без слов, заполняющая пустые углы в доме; храп
Ночная птица отряда сов; сыч
Ночная птица; сова
Ночное сборище ведьм в средневековых поверьях; шабаш
Ночной охотник за невинной кровью; вампир
Ночной сумрак; мгла
Ночные “боевики”; сны
Ночь года; зима
Ночь, когда справляются поминки (ислам); барат
Ночью 29 марта 1848 г. жители этого городка проснулись от необычайной тишины. Как называется этот городок?; Ниагара
Ноша, которая тянет; обуза
Ноша, обычно тяжелая (устар.); бремя
Ноша, с которой носится душа, пока не отлетит; тело
Направление, в котором изменяются цены; тренд
Нрав, обычай (стар.); норов
Нравственная категория, незнакомая бармалею; добро
Нравственное лекарство, которым пользуется природа, когда не хватает остальных средств (Отто Бисмарк); война
Нравственность, совокупность норм и принципов поведения людей; мораль
Нравственные нормы поведения, отношений с людьми; мораль
Ну вы, ... , даете; блин
Ну и лицо; харя
Ну очень вредное около воды насекомое?; комар
Ну очень здорово, просто высший что?; класс
Ну очень крутой поворот; вираж
Ну просто смех; умора
Нувистор как электронная лампа; триод
Нудное, тягомотное дело (разг.); бодяга
Нужен для приготовления маринада; уксус
Нужно для управления лодкой; весло
Нуклеозид; аденозин
Нулевое очко, нуль; зеро
Нутряное сало; сдор
Нынешнее местонахождение воза; там
Нынешнее название реки, которую древние греки называли Тирас?; Днестр
Нынешний президент Франции; Ширак
Нырковая утка; гоголь
Нырок, огарь по своей сути; утка
Ныряет зимой в прорубь, и ему хоть бы что (человек); морж
Нюанс в беседе; намек
Нюанс, выдающий мастера; изыск
Нюни минус слезы = ...?; сопли
Нюхатель; нос
О верном человеке говорят: на него можно положиться как на каменную; стена
О женщинах грубо; бабье
О злобном, коварном человеке; аспид
О кабинете Онегина поэт пишет: “Янтарь на трубках Цареграда, ... и бронза на столе”; фарфор
О какой эстрадной певице Михаил Жванецкий сказал: “Все, кроме нее, преодолели стыд и вышли на сцену, но петь не научились. Когда я слышу их голоса, мне почему-то хочется сесть каждой из них на лицо. Она же поменяла мои взгляды.”; Долина
О каком футболисте московского “Спартака” говорили: “Это чистый доход”; нетто
О ком Вольтер сказал, что если его не существует, то его следует выдумать?; бог
О ком идет речь в поговорке: “Где ... не сможет, туда бабу пошлет”; бес
О кротком, послушном человеке; агнец
О личности с оттенком иронии; особа
О любви к чему написано на гербе Республики Либерия?; к свободе
О ней писали, что она выпестовала до совершенства типично английский цветок. По ее собственным словам, главную роль в этом сыграло мытье посуды. О ком идет речь?; Кристи
О нем сказано: “От Ильича до Ильича без инфаркта и паралича”; микоян
О пауках раздел биологии; арахнология
О плохом запахе (ирон.); амбре
О теле женщины: грудь или чресла; лоно
О том, кто мешает, иногда говорят: “Сидит, как ... в горле”; кость
О худой и некрасивой женщине (разговорное); выдра
Раздел биологии о человеке; антропология
О человеке, перекладывающем свою работу на других; барин
О человеке, у которого выражение лица постоянно меняется, говорят, что у него живая ...; мимика
О чем Генрих Гейне говорил, что этот состоит из двух частей: на протяжении первой человек тянется ко второй, а на протяжении второй человек тянется назад, к первой? “о ...”; человеческой жизни
О чем идет речь в поговорке: “Востер ___, да и сук зубаст”; топор
О чем идет речь в поговорке: “Вперед да вперед, так меньше ___ берет”; горе
То, о чем идет речь в поговорке: “Высохло море, а все не ... чета”; лужа
О чем идет речь в поговорке: “День долог, а ... короток”; век
О чем идет речь в поговорке: “Веселым ... да и за свадебку”; пирок
О чем идет речь в поговорке: “Всякое дело ... хорошо”; конец
О-в Индонезии и Филиппин; Банка
О-в в Индонезии; Буру
О-ва Кука (Новозел.) (столица, центр); Аваруа
О. в Балт. море, принадлежит одновременно Герм. и Польше; Узедом
Оpудие, употpебляемое для pубки сахаpного тpосника; мачете
Они – около половины неприятностей части одной шестой. К НИМ часто причисляют одного из трех. Кроме того, известно, что они могут пострадать от ...; религиозных обрядов
Основание доказательства?; аргумент
Оазис в Алжире; голеа
Об этой причине, заставившей Николая I приехать в Москву, поэт написал в стихотворении “Герой”; холера
Об-во изучения поэтического языка (1910–1920 гг.); опояз
Обpазец чего-либо в уменьшенных pазмеpах; макет
Оба этих человека были вторыми сыновьями и не должны были наследовать почти ничего. Но, интригами или хитростью, они унаследовали все. Скажите, кто они, если один был сыном другого?; Исаак и Иаков
Обаяние?; чары
Обгорелый лес; пал
Обдумывание недоброго дела; умысел
Обеденная принадлежность; вилка
Обеденный ...; стол
Обезболивающее лекарство; анальгетик
Обезболивающее средство; лидол
Обезболивающие лекарственные средства; анальгетики
Обезжиренное молоко (возвращаемое с молокозавода обратно для кормления телят); обрат
Обезжиренные сливки, получаемые при сбивании масла; пахта
Обезжиренный молочный продукт, получаемый после сбивания масла; пахта
Обеззараживание ран; антисептика
Обеззараживающее средство?; антибиотик
Обеззараживающее средство; антисептик
Обеззараживающий белый порошок; хлорка
Обезьяна рода макак; резус
Обезьяна с очень динными конечностями, обитает в тропических лесах Южной Америки; коата
Обезьяна семейства павианов; сфинкс
Обезьяна, обитающая в лесах Африки; дрил
Обезьяна, обитающая на остр. Калимантан; носач
Обезьяна, представляющая род павианов; бабуин
Обезьяна; лангур
Оберег от злых чар; амулет
Обертка на ногу вместо носка, портянка; онуча
Обеспечение денежными средствами покупателей части их потребностей в товарах и платных услугах; спрос
Обещал приехать ты ко мне, и опять свои слова нарушил, в море черном плаваю во сне, снегом белым оттираю душу... (исполн. песни); Долина
Обещание, данное самому себе; зарок
Обжаренные колбаски с картофелем и крупой в Литве и Беларуси; вядеры
Обилие сменяющих друг друга действий, эффектов; каскад
Обиталище сказочных принцев; замок
Обитатели Восточной Африки, впервые увидевшие танк, радостно закричали “Фару Фару”, поскольку танк напомнил им нечто хорошо знакомое. Что же означает на их языке слово “фару”?; носорог
Один из обитателей двух диаметрально противоположных точек поверхности земного шара; антипод
Обитатель “зоны особого внимания”, но не персонаж популярного фильма (жарг.); зек
Обитатель леса, который все время долбится?; дятел
Обитающая по берегам морей, рек и озер птица семейства чайковых с прямым острым клювом и длинными острыми перьями; крачка
Обитель канцелярских крыс; офис
Обитель кока; камбуз
Обитель мусульманских дервишей в Турции; текке
Обиходное название болезни легких у лошадей и других животных; запал
Обиходное название бранденбургской монеты в 1/12 талера; ахтехальбер
Обиходное название водки: “зеленый ...”; змий
Обиходное название грошена 16 века с изображением св. Анны; анненгрошен
Обиходное название кровеносных сосудов, сухожилий; жила
Обиходное название крупного осьминога; спрут
Обиходное название озера, на котором находится остров Кижи; Онега
Обиходное название раздвоенного длинного языка у ядовитых змей; жало
Обиходное название стенокардии; жаба
Обиходное название швейцарской монеты с сер. 14 до нач. 19 в.; ангстер
Обиходное название южной акации; мимоза
Обл. в Италии (Кампобассо + Изерния); Молизе
Обл. соприкосн. нервных клеток, на котор. действ. никотин; синапс
Обл. центр в России; Архангельск
Облагороженное зло (по Фридриху Ницше); добро
Обладатель “Оскара” 1995 г. за “Обычные подозреваемые”; Спейси
Обладатель больших богатств; крез
Обладатель крутизны; склон
Обладатель кубка России ’00?; Локомотив Москва
Обладатель кубка России ’01?; Локомотив Москва
Обладатель кубка России ’02?; цска
Обладатель кубка России ’93?; Торпедо Москва
Обладатель кубка России ’94?; Спартак Москва
Обладатель кубка России ’95?; Динамо Москва
Обладатель кубка России ’96?; Локомотив Москва
Обладатель кубка России ’97?; Локомотив Москва
Обладатель кубка России ’98?; Спартак Москва
Обладатель кубка России ’99?; Зенит
Обладатель черного пояса по аккуратэ; аккуратист
Обладательница самых мощных челюстей; акула
Обладающий даром убеждения; ритор
Облако, несущее дождь; туча
Областная особенность разговорной речи; говор
Областной центр Белоруссии; Брест
Областной центр Казахстана; Атырау
Областной центр Кыргызстана; Нарын
Областной центр РФ; Курган
Областной центр России, в театрах которого начинал Алексей Булдаков – суперзвезда российского кино; Рязань
Областной центр России; Липецк
Областной центр Российской Федерации; Калуга
Областной центр Таджикистана; Куляб
Областной центр Узбекистана; Бухара
Областной центр Украины; Донецк
Областной центр в Казахстане; Акмола
Областной центр в РФ; Тамбов
Областной центр в России на реке Томь; Томск
Областной центр в России, знаменитый самоварами и пряниками; Тула
Областной центр в России?; Ростов
Областной центр в России; Астрахань
Областной центр в Туркмении; Мары
Областной центр на Украине; Ровно
Областной центр на Урале, известный с XVII века; Пермь
Область в центральной части Пелопоннеса (Греция); Аркадия
Область в центральной части Пелопоннеса; Аркадия
Область высокого атмосферного давления?; антициклон
Область государственной, хозяйственной деятельности; сектор
Область действия, охвата, распространения чего-либо (перен.); радиус
Область деятельности?; поприще
Область естественного распространения какого-либо вида, рода, семейства и т. п. животных или растений?; ареал
Область какой-либо деятельности; сфера
Область клинич. медицины; анестезиология
Область клинической медицины; анестезиология
Область контакта нервных клеток (между собой и с клетками исполнительных органов); синапс
Область на Балканах, Словения; Краина
Область на Балканах; Истрия
Область науки и техники, занимающаяся изучением телеграфной связи?; телеграфия
Область памяти для хранения серии данных по методу “первый зашел – последний вышел” (комп.); стек
Область повышенного давления?; антициклон
Область проблем, философская трудность которых стремится к нулю, зато практическая – к бесконечности?; этика
Область раздела между движущимися воздушными массами; фронт
Область распространения данного вида животных и растений; ареал
Область распространения на земной поверхности какого-либо явления, видов животных, растений, полезных ископаемых; ареал
Область распространения растения или животного; ареал
Область распространения чего-либо, сфера интересов и т. п.; орбита
Область устойчивого пониженного атмосферного давления; циклон
Область, огранич. окружностью; литер. альманах; круг
Область, огранич. окружностью; круг
Облачение священника; царск. одеяние 15–17 вв.; оклад; риза
Облачение священника; риза
Облачение, одежда священника при богослужении; риза
Облегающая одежда эквилибристов; трико
Облегчение текста для начинающих изучать иностранные языки?; адаптация
Облик любимой, любимого; образ
Обличающее, бичующее осмеяние; сатира
Обличение, осмеяние пороков, злая насмешка; сатира
Облом архитектурный, сочетание валика с полочкой; астрагал
Обломки скал, обрушившиеся с гор; обвал
Обломок горной породы; камень
Обломочная горная порода, применяется как строительный материал; гравий
Обломочная горная порода; аркоз
Обман на криминальном языке; лажа
Обман со стороны продавца; обвес
Обман, вранье; ложь
Обман, жульничество?; надувательство
Обманная комбинация?; махинация
Обманное движение в спорте; финт
Обманное движение, ложный выпад; финт
Обмен мнениями, прения, обсуждения; дебаты
Обмен нац. валюты на иностранную с обязательством обратного обмена; своп
Обменная сделка; бартер
Обмолвка, ошибка, упущение, промах, погрешность; ляпсус
Обморочное состояние?; шок
Обмотка для ноги под сапог или лапоть; онуча
Обмотки?; онучи
Обнаженная на полотне великого Рембрандта; Даная
Обнаженная натура?; ню
Обнимая ... крепкими руками, летчик набирает высоту – пропущенное слово из песни, в которой “тоскуют руки по штурвалу”; небо
Обновление?; модернизация
Обобщающее название клоуна, акробата, эквилибриста, фокусника; циркач
Обобщающее название некоторых индейских племен; ирокез
Обобщающее название огородных трав; зелень
Обобщающее название одновалентного органического радикала, являющегося остатком углеводорода ароматического ряда; арил
Обобщающее название озера, бассейна, пруда; водоем
Обобщающее название средств, используемых для уничтожения клещей; акарициды
Обобщающее название средств, уничтожающих грызунов; зооцид
Обобщенное название одновалентных органических радикалов; алкил
Обобщенный образ, вид; тип
Обогатил Дантеса; Фариа
Обогреватель в сельском доме; печка
Обод, набиваемый на бочку; спорт. инвентарь; обруч
Обод, набиваемый на бочку; обруч
Обожженная до спекания глина, а также огнеупорный кирпич из такой глины; шамот
Обожженная огнеупорная глина или каолин; шамот
Обожженное место на коже организма; ожог
Обожженный кирпич; плинфа
Обозначение быстрого темпа муз. произведения; аллегро
Обозначение медленного темпа исполнения музыкального произведения?; адажио
Обозначение одного из трех биоритмов человека; альфа
Обозначение первой из перечисляемых модификаций химич. элемента, вещества, видов радиации; альфа
Обозначение среды художественной интеллигенции, ведущей беспорядочную и необеспеченную жизнь; богема
Обозначение ударения; акцент
Обозначение, служащее условным знаком какого-нибудь понятия, явления; символ
Оболочка Земли; атмосфера
Оболочка апельсина; цедра
Оболочка на ободе колеса; шина
Оболочка, боковая сторона какого-нибудь вместилища; стенка
Оболочка, в которой гусеница превращается в куколку; кокон
Оболочка, покрывающая легкие и внутреннюю поверхность грудной клетки; плевра
Оболочка, покрывающая легкие и выстилающая изнутри стенки грудной полости; плевра
Оболочка, покрывающая легкие человека; плевра
Оболочка, покрывающая органы, сосуды, нервы и образующая футляры для мышц у позвоночных животных и человека; фасция
Обоняние у животных; нюх
Обоняние; сообразительность, чутье; нюх
Обоняние; нюх
Оборванец (разг.); рвань
Оборка как спортивный предмет; волан
Оборона в шахматах; часть футбольной команды; защита
Оборона в шахматах; защита
Оборонительная линия на Руси; засека
Оборонительное заграждение в виде скрещивающихся переплетенных колючей проволокой кольев, брусьев, рельсов; еж
Оборонительное заграждение в воздухе и воде; барраж
Оборонительное и защитное сооружение?; фортификация
Оборонительное сооружение; дот
Оборот речи, значение которого не определяется отдельными значениями входящих в него слов; идиома
Оборот снасти, троса вокруг чего-либо; шлаг
Оборот, в который попадает проволока, когда из нее делают спираль; виток
Оборотная сторона монеты, медали; реверс
Оборудование для радиосвязи; рация
Оборудование для уничтожения морских или наземных мин (напр., буксируемый трос, каток перед танком); трал
Оборудование какой-либо лаборатории, цеха и т. п.; аппаратура
Оборудование лаборатории, цеха?; аппаратура
Оборудованное углубленное место для хранения чего-нибудь, размещения чего-нибудь; яма
Обоснование чего-либо, совокупность аргументов; аргументация
Обособленная общественная группа в странах Востока; каста
Обособленная общественная группа, связанная происхождением и правовым положением своих членов; каста
Обособленное подразделение предприятия, расположенное в другом месте; филиал
Обособленные места на внутреннем балконе зрительного зала; ложа
